Nr Code,Variable Name,Is TT,LV Match,LV Text,EN Match,EN Text,Consensus Vote,Consensus Text,Include
NR40,Jumta sliedes,N,No,,No,,No (0Y/0M/3N),,☐
NR41,Priekšējais bagāžnieks,N,No,,No,,No (0Y/0M/3N),,☐
NR42,Panorāmas jumts,N,No,,No,,No (0Y/0M/3N),,☐
NR43,Ārējais Izskats -  Apgaismojums,Y,,,,,,,
NR44,Dienas gaitas lukturi - LED,N,Yes,LED dienas apgaismojuma lukturi,Yes,LED dienas apgaismojuma lukturi,Yes (3Y/0M/0N),"""LED dienas apgaismojuma lukturi""",☑
NR45,Priekšējie miglas lukturi - LED,N,No,,No,,No (0Y/0M/3N),,☐
NR46,Priekšējie miglas lukturi – LED integrēti,N,No,,No,,No (0Y/0M/3N),,☐
NR47,Priekšējo lukturu vadība – automātiska,N,No,,Yes,Automātiskā gaisa kondicionēšanas sistēma,Yes (3Y/0M/0N),"""Inteliģentie automātiskie priekšējie lukturi""",☑
NR48,Priekšējo lukturu vadība – automātiska augsta/zema gaisma,N,No,,No,,No (0Y/0M/3N),,☐
NR49,Priekšējie lukturi – LED,N,Yes,LED priekšējie lukturi,Yes,LED priekšējie lukturi,Yes (3Y/0M/0N),"""LED priekšējie lukturi""",☑
NR50,Priekšējie lukturi – adaptīvie LED bez Matrix vai Glare Free,N,No,,No,,No (0Y/0M/3N),,☐
NR51,Priekšējie lukturi – adaptīvie LED ar Matrix vai Glare Free,N,No,,No,,No (0Y/0M/3N),,☐
NR52,Interjers – Komforts/Ērtības,Y,,,,,,,
NR53,Gaisa kondicionētājs,N,Yes,Automātiskā gaisa kondicionēšanas sistēma,Yes,Automātiskā gaisa kondicionēšanas sistēma,Yes (3Y/0M/0N),"""Automātiskā gaisa kondicionēšanas sistēma""",☑
NR54,Gaisa kondicionētājs – EATC 2 zonas,N,No,,No,,No (0Y/0M/3N),,☐
NR55,Gaisa kondicionētājs – EATC 3 zonas,N,No,,No,,No (0Y/0M/3N),,☐
NR56,Salona gaisa attīrītājs,N,No,,No,,No (0Y/0M/3N),,☐
NR57,Apgaismojums – salons ar daudzkrāsu LED,N,No,,Yes,Automobiļa salona apgaismojums priekšā un aizmugurē,No (0Y/0M/3N),,☑
NR58,Centrālā konsole ar roku balstu,N,No,,Yes,Priekšējais elkoņbalsts,No (0Y/0M/3N),,☑
NR59,Automātiski tumšojams salona spogulis,N,No,,No,,No (0Y/0M/3N),,☐
NR60,12 V bagāžas nodalījumā,N,No,,Yes,12V USB pieslēgvieta aizmugurē,No (0Y/0M/3N),,☑
NR61,Bezvadu uzlāde,N,No,,No,,No (0Y/0M/3N),,☐
NR62,Interjers – In car entertainment/komunikācijas,Y,,,,,,,
NR63,"Daudzfunkcionāls skārienjūtīgais ekrāns - 6 - 7,9""",N,Yes,"7"" krāsains modernais autovadītāja braukšanas palīgsistēmu (ADAD) displejs mērinstrumentu panelī",Yes,"7"" krāsains modernais autovadītāja braukšanas palīgsistēmu (ADAD) displejs mērinstrumentu panelī",Yes (3Y/0M/0N),"""7"" krāsains modernais autovadītāja braukšanas palīgsistēmu (ADAD) displejs mērinstrumentu panelī""",☑
NR64,"Daudzfunkcionāls skārienjūtīgais ekrāns - 8 - 9,9""",N,No,,No,,No (0Y/0M/3N),,☐
NR65,"Daudzfunkcionāls skārienjūtīgais ekrāns - 10 - 11,9""",N,No,,No,,No (0Y/0M/3N),,☐
NR66,"Daudzfunkcionāls skārienjūtīgais ekrāns - 12 - """,N,Yes,"12,3"" skārienekrāns",No,,Yes (3Y/0M/0N),"""12,3"" skārienekrāns""",☑
NR67,Zīmola audio sistēma,N,No,,No,,No (0Y/0M/3N),,☐
NR68,Navigācijas centrs,N,No,,No,,No (0Y/0M/3N),,☐
NR69,Navigācijas centrs - savienots,N,No,,No,,No (0Y/0M/3N),,☐
NR70,Android Auto un Apple CarPlay,N,Yes,Bezvadu Apple Car Play,Yes,Bezvadu Apple Car Play,Yes (3Y/0M/0N),"""Bezvadu Apple Car Play""",☑
NR71,Android Auto un Apple CarPlay - bezvadu,N,Yes,Bezvadu Android Auto,Yes,Bezvadu Android Auto,Yes (3Y/0M/0N),"""Bezvadu Android Auto""",☑
NR72,Vieds palīgs ar AI,N,No,,No,,No (0Y/0M/3N),,☐
NR73,Head - Up displejs,N,No,,No,,No (0Y/0M/3N),,☐
NR74,Interjers -  Instrumenti/Vadības Elementi,Y,,,,,,,
NR75,Apsildāms stūres rats,N,No,,No,,Maybe (2Y/0M/1N),"""Apsildāmi priekšējie sēdekļi""",☑
NR76,Ādas stūres rats,N,No,,No,,No (0Y/0M/3N),,☐
NR77,"Digitālais displejs – līdz 8,9""",N,No,,No,,No (0Y/0M/3N),,☐
NR78,"Digitālais displejs 9“ - 11,9”",N,No,,No,,No (0Y/0M/3N),,☐
NR79,"Digitālais displejs 12+""",N,No,,No,,No (0Y/0M/3N),,☐
NR80,Interjers -  Sēdekļi,Y,,,,,,,
NR81,Apsildāms vadītāja sēdeklis,N,Yes,Apsildāms vadītāja sēdeklis,Yes,Apsildāmi priekšējie sēdekļi,Yes (3Y/0M/0N),"""Autovadītāja sēdeklis ar regulējamu augstumu""",☑
NR82,Apsildāms pasažiera sēdeklis,N,Yes,Apsildāms pasažiera sēdeklis,Yes,Apsildāmi priekšējie sēdekļi,Maybe (2Y/0M/1N),"""Apsildāms pasažiera sēdeklis""",☑
NR83,Apsildāmi aizmugurējie sēdekļi,N,No,,No,,No (0Y/0M/3N),,☐
NR84,Vadītāja sēdekļa jostasvietas regulēšana manuāli,N,No,,No,,No (0Y/0M/3N),,☐
NR85,Pasažiera sēdekļa jostasvietas regulēšana manuāli,N,No,,No,,No (0Y/0M/3N),,☐
NR86,Vadītāja sēdekļa jostasvietas regulēšana elektriski,N,No,,No,,Maybe (2Y/0M/1N),"""Elektriski regulējams vadītāja sēdeklis""",☑
NR87,Pasažiera sēdekļa jostasvietas regulēšana elektriski,N,No,,No,,Maybe (1Y/0M/2N),"""Elektriski regulējams pasažiera sēdeklis""",☑
NR88,Elektriski regulējams vadītāja sēdeklis,N,Yes,Elektriski regulējams vadītāja sēdeklis,Yes,Autovadītāja sēdeklis ar regulējamu augstumu,Yes (3Y/0M/0N),"""Elektriski regulējams vadītāja sēdeklis""",☑
NR89,Elektriski regulējams pasažiera sēdeklis,N,No,,No,,Maybe (1Y/0M/2N),"""Elektriski regulējams pasažiera sēdeklis""",☑
NR90,Elektriski regulējams vadītāja sēdeklis ar atmiņu,N,No,,No,,No (0Y/0M/3N),,☐
NR91,Elektriski regulējams pasažiera sēdeklis ar atmiņu,N,No,,No,,No (0Y/0M/3N),,☐
NR92,Sēdekļu apdare – audums/sintētiskā āda,N,Yes,Monoformas sporta stila sēdekļi ar melnu auduma apdari,Yes,Monoformas sporta stila sēdekļi ar melnu auduma apdari,Yes (3Y/0M/0N),"""Monoformas sporta stila sēdekļi ar melnu auduma apdari""",☑
NR93,Sēdekļu apdare – Alcantara/sintētiskā āda,N,No,,No,,No (0Y/0M/3N),,☐
NR94,Sēdekļu apdare – sintētiskā āda,N,No,,No,,No (0Y/0M/3N),,☐
NR95,Interjers – Vadītāja Palīdzības Tehnoloģijas,Y,,,,,,,
NR96,Automātiskā stāvvietas sistēma,N,No,,No,,No (0Y/0M/3N),,☐
NR97,Aklā zona uzraudzība,N,No,,No,,No (0Y/0M/3N),,☐
NR98,Aklā zona uzraudzība ar šķērssatiksmes brīdinājumu,N,No,,No,,No (0Y/0M/3N),,☐
NR99,Kruīza Kontrole,Y,,,,,,,
NR100,Kruīza kontrole - adaptīva,N,Yes,Kruīza kontrole ar ātruma ierobežotāju,Yes,Kruīza kontrole ar ātruma ierobežotāju,Yes (3Y/0M/0N),"""Kruīza kontrole ar ātruma ierobežotāju""",☑
NR101,Kruīza kontrole - adaptīva Stop&Go,N,No,,No,,No (0Y/0M/3N),,☐
NR102,Kruīza kontrole - adaptīva satiksmes sastrēgumos,N,No,,No,,No (0Y/0M/3N),,☐
NR103,"Kruīza kontrole - adaptīva, balstīta uz navigācijas sistēmu",N,No,,No,,No (0Y/0M/3N),,☐
NR104,Joslas centrs un apdzīšanas palīgs,N,No,,No,,No (0Y/0M/3N),,☐
NR105,Kamera - priekšējais 360° skats,N,No,,No,,Maybe (1Y/0M/2N),"""Atpakaļskata kamera""",☑
NR106,Kamera - aizmugures skats,N,Yes,Atpakaļskata kamera,Yes,Atpakaļskata kamera,Maybe (2Y/0M/1N),"""Atpakaļskata kamera""",☑
NR107,Parkošanās palīgsistēma - priekšējie sensori,N,No,,No,,No (0Y/0M/3N),,☐
NR108,Parkošanās palīgsistēma - aizmugures sensori,N,No,,No,,No (0Y/0M/3N),,☐
NR109,Mehānika -  Šasija,Y,,,,,,,
NR110,AEBS ar gājēju un velosipēdistu atpazīšanu,N,Yes,Inteliģentā ārkārtas bremzēšanas sistēma ar gājēju un riteņbraucēju atpazīšanas funkciju,Yes,Inteliģentā ārkārtas bremzēšanas sistēma ar gājēju un riteņbraucēju atpazīšanas funkciju,Yes (3Y/0M/0N),"""Inteliģentā ārkārtas bremzēšanas sistēma ar gājēju un riteņbraucēju atpazīšanas funkciju""",☑
NR111,AEBS ar gājēju atpazīšanu,N,No,,No,,No (0Y/0M/3N),,☐
NR112,Sadursmes mīkstināšana - pēc sadursmes,N,No,,No,,No (0Y/0M/3N),,☐
NR113,Stāvvietas bremze - elektriska,N,No,,Yes,Elektroniska rokas bremze ar automātiskās stāvbremzes funkciju,Yes (3Y/0M/0N),"""Elektroniska rokas bremze ar automātiskās stāvbremzes funkciju""",☑
NR114,Mehānika -  Riteņi/Riepas,Y,,,,,,,
NR115,"17"" tērauda riteņi",N,Yes,"17"" tērauda diski",Yes,"17"" tērauda diski",Yes (3Y/0M/0N),"""17"" tērauda diski""",☑
NR116,"17"" vieglmetāla riteņi",N,No,,No,,No (0Y/0M/3N),,☐
NR117,"18"" tērauda riteņi",N,No,,No,,No (0Y/0M/3N),,☐
NR118,"18"" vieglmetāla riteņi",N,No,,No,,No (0Y/0M/3N),,☐
NR119,"19"" tērauda riteņi",N,No,,No,,No (0Y/0M/3N),,☐
NR120,"19"" vieglmetāla riteņi",N,No,,No,,No (0Y/0M/3N),,☐
NR121,"20"" tērauda riteņi",N,No,,No,,No (0Y/0M/3N),,☐
NR122,"20"" vieglmetāla riteņi",N,No,,No,,No (0Y/0M/3N),,☐
NR123,Rezerves ritenis,N,No,,No,,No (0Y/0M/3N),,☐
NR124,Piekabes āķis,N,No,,No,,No (0Y/0M/3N),,☐
NR125,Drošība Un Aizsardzība,Y,,,,,,,
NR126,Gaisa spilveni - ceļgaliem vai centrā,N,No,,Yes,"Autovadītāja un pasažiera gaisa drošības spilveni, sānu un aizkarveida gaisa drošības spilveni",Maybe (2Y/0M/1N),"""sānu un aizkarveida gaisa drošības spilveni""",☑
NR127,Gaisa spilveni - aizkari,N,Yes,Aizkarveida gaisa drošības spilveni,Yes,Aizkarveida gaisa drošības spilveni,Maybe (2Y/0M/1N),"""Aizkarveida gaisa drošības spilveni""",☑
NR128,Gaisa spilveni – sānu,N,Yes,Sānu gaisa drošības spilveni,Yes,Sānu gaisa drošības spilveni,Yes (3Y/0M/0N),"""Sānu un aizkarveida gaisa drošības spilveni""",☑
NR129,Signalizācija – perimetra,N,Yes,Rūpnīcā uzstādīta signalizācija,Yes,Rūpnīcā uzstādīta signalizācija,Yes (3Y/0M/0N),"""Rūpnīcā uzstādīta signalizācija""",☑
NR130,Bezatslēgas iedarbināšana,N,No,,No,,No (0Y/0M/3N),,☐
NR131,Bezatslēgas piekļuve un iedarbināšana,N,No,,No,,No (0Y/0M/3N),,☐
NR132,Garantija,Y,,,,,,,
NR133,Papildus garantija – 3 gadi,N,Yes,Garantija: Jauna automobiļa garantija,Yes,Garantija: Jauna automobiļa garantija,Yes (3Y/0M/0N),"""Jauna automobiļa garantija""",☑
NR134,Papildus garantija – 4 gadi,N,No,,No,,No (0Y/0M/3N),,☐
NR135,Papildus garantija – 5 gadi,N,No,,No,,No (0Y/0M/3N),,☐
NR136,Papildus garantija – 6 gadi,N,No,,No,,No (0Y/0M/3N),,☐
NR137,Papildus garantija – 7 gadi,N,No,,No,,No (0Y/0M/3N),,☐
NR138,8 gadu akumulatora garantija,N,No,,No,,No (0Y/0M/3N),,☐
