Nr Code,Variable Name,Is TT,Match (Yes/No/Maybe),Include,Matching Text,LLM_Reason,Accepted
NR76,Ādas stūres rats,,Yes,N,Apsildāma ādas apdares multifunkciju stūre,,
NR77,"Digitālais displejs – līdz 8,9""",,No,N,,,
NR78,"Digitālais displejs 9“ - 11,9”",,No,N,,,
NR79,"Digitālais displejs 12+""",,Yes,N,Digitāls mērsinstrumentu panelis Pro (26cm),,
NR80,— INTERJERS -  SĒDEKĻI —,Y,,,,,
NR81,Apsildāms vadītāja sēdeklis,,Yes,N,Apsildāmi priekšējie sēdekļ,,
NR82,Apsildāms pasažiera sēdeklis,,Yes,N,Apsildāmi priekšējie sēdekļ,,
NR83,Apsildāmi aizmugurējie sēdekļi,,No,N,,,
NR84,Vadītāja sēdekļa jostasvietas regulēšana manuāli,,Yes,N,Priekšējie sēdekļi ar muguras komforta regulāciju,,
NR85,Pasažiera sēdekļa jostasvietas regulēšana manuāli,,No,N,Priekšējie sēdekļi ar muguras komforta regulāciju,,
NR86,Vadītāja sēdekļa jostasvietas regulēšana elektriski,,No,N,,,
NR87,Pasažiera sēdekļa jostasvietas regulēšana elektriski,,No,N,,,
NR88,Elektriski regulējams vadītāja sēdeklis,,No,N,,,
NR89,Elektriski regulējams pasažiera sēdeklis,,No,N,,,
NR90,Elektriski regulējams vadītāja sēdeklis ar atmiņu,,No,N,,,
NR91,Elektriski regulējams pasažiera sēdeklis ar atmiņu,,No,N,,,
NR92,Sēdekļu apdare – audums/sintētiskā āda,,No,N,Auduma sēdekļu apdare,,
NR93,Sēdekļu apdare – Alcantara/sintētiskā āda,,No,N,,,
NR94,Sēdekļu apdare – sintētiskā āda,,No,N,,,
NR95,— INTERJERS – VADĪTĀJA PALĪDZĪBAS TEHNOLOĢIJAS —,Y,,,,,
NR96,Automātiskā stāvvietas sistēma,,Yes,N,Stāvvietā novietošanas asistents Park Assist Plus,,
NR97,Aklā zona uzraudzība,,Yes,N,Braukšanas joslu maiņas asistents Side Assist,,
NR98,Aklā zona uzraudzība ar šķērssatiksmes brīdinājumu,,Yes,N,Priekšējā šķērssatiksmes palīgsistēma,,
NR99,Kruīza Kontrole,,No,N,Ātruma ierobežotājs,,
NR100,Kruīza kontrole - adaptīva,,Yes,N,Adaptīvā kruīza kontrole (ACC),,
NR101,Kruīza kontrole - adaptīva Stop&Go,,Yes,N,"Adaptīvā kruīza kontrole (ACC) , Stop & Go funkcija",,
NR102,Kruīza kontrole - adaptīva satiksmes sastrēgumos,,No,N,"Adaptīvā kruīza kontrole (ACC) , Stop & Go funkcija",,
NR103,"Kruīza kontrole - adaptīva, balstīta uz navigācijas sistēmu",,No,N,,,
NR104,Joslas centrs un apdzīšanas palīgs,,No,N,Braukšanas joslu uzturēšanas asistents Lane Assist,,
NR105,Kamera - priekšējais 360° skats,,No,N,,,
NR106,Kamera - aizmugures skats,,Yes,N,Atpakaļskata kamera,,
NR107,Parkošanās palīgsistēma - priekšējie sensori,,Yes,N,stāvietā novietošanas sensoriem priekšā,,
NR108,Parkošanās palīgsistēma - aizmugures sensori,,Yes,N,stāvietā novietošanas sensoriem aizmugurē,,
NR109,— MEHĀNIKA -  ŠASIJA —,Y,,,,,
NR110,AEBS ar gājēju un velosipēdistu atpazīšanu,,Yes,N,"Sadursmes novēršanas brīdinājuma sistēma Front Assist, ar gājēju un velosipēdistu uzraudzību",,
NR111,AEBS ar gājēju atpazīšanu,,No,N,,,
NR112,Sadursmes mīkstināšana - pēc sadursmes,,Yes,N,Atkārtotas sadursmes novēršanas sistēma (Multi-collision brake),,
NR113,Stāvvietas bremze - elektriska,,Yes,N,Elektroniskā stāvbremze ar Auto Hold funkciju,,
NR114,— MEHĀNIKA -  RITEŅI/RIEPAS —,Y,,,,,
NR115,"17"" tērauda riteņi",,No,N,,,
NR116,"17"" vieglmetāla riteņi",,Yes,N,Vieglmetāla diski Bari 7J x 17,,
NR117,"18"" tērauda riteņi",,No,N,,,
NR118,"18"" vieglmetāla riteņi",,No,N,,,
NR119,"19"" tērauda riteņi",,No,N,,,
NR120,"19"" vieglmetāla riteņi",,No,N,,,
NR121,"20"" tērauda riteņi",,No,N,,,
NR122,"20"" vieglmetāla riteņi",,No,N,,,
NR123,Rezerves ritenis,,No,N,,,
NR124,Piekabes āķis,,No,N,,,
NR125,— DROŠĪBA UN AIZSARDZĪBA —,Y,,,,,
NR126,Gaisa spilveni - ceļgaliem vai centrā,,Yes,N,"Galvas un sānu drošības spilvenu sistēma priekšā un aizmugurē sēdošajiem, ar centrālo drošības spilvenu",,
NR127,Gaisa spilveni - aizkari,,Yes,N,,,
NR128,Gaisa spilveni – sānu,,Yes,N,Galvas un sānu drošības spilvenu sistēma priekšā un aizmugurē sēdošajiem,,
NR129,Signalizācija – perimetra,,No,N,,,
NR130,Bezatslēgas iedarbināšana,,Yes,N,bezatslēgas dzinēja startēšana,,
NR131,Bezatslēgas piekļuve un iedarbināšana,,Yes,N,bezatslēgas piekļuves un dzinēja startēšanas sistēma Keyless Access,,
NR132,— GARANTIJA —,Y,,,,,
NR133,Papildus garantija – 3 gadi,,No,N,,,
NR134,Papildus garantija – 4 gadi,,No,N,,,
NR135,Papildus garantija – 5 gadi,,Yes,N,5 gadu līdz 100 000km garantija,,
NR136,Papildus garantija – 6 gadi,,No,N,,,
NR137,Papildus garantija – 7 gadi,,No,N,,,
NR138,8 gadu akumulatora garantija,,Yes,N,Augstsprieguma akumulatoram (e Hybrid) 8 gadi vai 160 000km,,
