Nr Code,Variable Name,Is TT,LV Match,LV Text,EN Match,EN Text,Consensus Vote,Consensus Text,Consensus Reasoning,Include
NR63,"Daudzfunkcionāls skārienjūtīgais ekrāns - 6 - 7,9""",N,Yes,"7"" krāsains modernais autovadītāja braukšanas palīgsistēmu (ADAD) displejs mērinstrumentu panelī",Yes,"7"" krāsains modernais autovadītāja braukšanas palīgsistēmu (ADAD) displejs mērinstrumentu panelī",Yes (3Y/0M/0N),"""7"" krāsains modernais autovadītāja braukšanas palīgsistēmu (ADAD) displejs""","The specification mentions ""7"" krāsains modernais ... displejs,"" confirming the presence of a multifunctional touchscreen display.; Clearly states the presence of a multifunctional touchscreen display of 7 inches.; The specification mentions ""7"" krāsains modernais autovadītāja braukšanas palīgsistēmu (ADAD) displejs,"" confirming the presence of a multifunctional touchscreen display within the specified size range.",☑
NR64,"Daudzfunkcionāls skārienjūtīgais ekrāns - 8 - 9,9""",N,No,,No,,No (0Y/0M/3N),,"No mention of a multifunctional touchscreen display - 8 - 9.9"" in the specifications.; No mention of a multifunctional touchscreen display of 8 - 9.9 inches in the specifications.; No mention of a multifunctional touchscreen display between 8 - 9.9"" in the specifications.",☐
NR65,"Daudzfunkcionāls skārienjūtīgais ekrāns - 10 - 11,9""",N,No,,No,,No (0Y/0M/3N),,"No mention of a multifunctional touchscreen display - 10 - 11.9"" in the specifications.; No mention of a multifunctional touchscreen display of 10 - 11.9 inches in the specifications.; No mention of a multifunctional touchscreen display between 10 - 11.9"" in the specifications.",☐
NR66,"Daudzfunkcionāls skārienjūtīgais ekrāns - 12 - """,N,Yes,"12,3"" skārienekrāns",No,,Yes (3Y/0M/0N),"""12,3"" skārienekrāns""","The specification states ""12,3"" skārienekrāns,"" confirming the presence of a multifunctional touchscreen display of 12 inches.; Clearly states the presence of a multifunctional touchscreen display of 12 inches.; The specification mentions ""12,3"" skārienekrāns,"" confirming the presence of a multifunctional touchscreen display of 12"" or larger.",☑
NR67,Zīmola audio sistēma,N,No,,No,,No (0Y/0M/3N),,No mention of a branded audio system in the specifications.; No mention of a brand audio system in the specifications.; No mention of a branded audio system in the specifications.,☐
NR68,Navigācijas centrs,N,No,,No,,No (0Y/0M/3N),,No mention of a navigation center in the specifications.; No mention of a navigation center in the specifications.; No mention of a navigation center in the specifications.,☐
NR69,Navigācijas centrs - savienots,N,No,,No,,No (0Y/0M/3N),,No mention of a connected navigation center in the specifications.; No mention of a connected navigation center in the specifications.; No mention of a connected navigation center in the specifications.,☐
NR70,Android Auto un Apple CarPlay,N,Yes,Bezvadu Apple Car Play,Yes,Bezvadu Apple Car Play,Yes (3Y/0M/0N),"""Bezvadu Apple Car Play""","The specification mentions ""Bezvadu Apple Car Play,"" confirming the presence of both Android Auto and Apple CarPlay.; Clearly states the presence of wireless Apple CarPlay.; The specification mentions ""Bezvadu Apple Car Play,"" confirming the presence of Apple CarPlay and Android Auto.",☑
NR71,Android Auto un Apple CarPlay - bezvadu,N,Yes,Bezvadu Android Auto,Yes,Bezvadu Android Auto,Yes (3Y/0M/0N),"""Bezvadu Android Auto""","The specification states ""Bezvadu Android Auto,"" confirming the wireless feature for Android Auto.; Clearly states the presence of wireless Android Auto.; The specification mentions ""Bezvadu Android Auto,"" confirming the presence of Android Auto.",☑
NR72,Vieds palīgs ar AI,N,No,,No,,No (0Y/0M/3N),,No mention of an AI-powered smart assistant in the specifications.; No mention of a smart assistant with AI in the specifications.; No mention of an AI-based smart assistant in the specifications.,☐
NR73,Head - Up displejs,N,No,,No,,No (0Y/0M/3N),,No mention of a Head-Up display in the specifications.; No mention of a Head-Up display in the specifications.; No mention of a Head-Up display in the specifications.,☐
NR74,Interjers -  Instrumenti/Vadības Elementi,Y,,,,,,,,
NR75,Apsildāms stūres rats,N,No,,No,,No (0Y/0M/3N),,No mention of a heated steering wheel in the specifications.; No mention of a heated steering wheel in the specifications.; No mention of a heated steering wheel in the specifications.,☐
NR76,Ādas stūres rats,N,No,,No,,No (0Y/0M/3N),,No mention of a leather steering wheel in the specifications.; No mention of a leather steering wheel in the specifications.; No mention of a leather steering wheel in the specifications.,☐
NR77,"Digitālais displejs – līdz 8,9""",N,No,,No,,No (0Y/0M/3N),,"No mention of a digital display - up to 8.9"" in the specifications.; No mention of a digital display up to 8.9 inches in the specifications.; No mention of a digital display up to 8.9"" in the specifications.",☐
NR78,"Digitālais displejs 9“ - 11,9”",N,No,,No,,No (0Y/0M/3N),,"No mention of a digital display 9"" - 11.9"" in the specifications.; No mention of a digital display of 9"" - 11.9"" in the specifications.; No mention of a digital display between 9"" - 11.9"" in the specifications.",☐
NR79,"Digitālais displejs 12+""",N,No,,No,,Yes (3Y/0M/0N),"""12,3"" skārienekrāns""","The specification mentions ""12,3"" skārienekrāns,"" which can be interpreted as a digital display of 12 inches or larger.; The 12.3"" touchscreen can be interpreted as a digital display of 12 inches or more.; The specification mentions ""12,3"" skārienekrāns,"" confirming the presence of a digital display of 12"" or larger.",☑
NR80,Interjers -  Sēdekļi,Y,,,,,,,,
NR81,Apsildāms vadītāja sēdeklis,N,Yes,Apsildāms vadītāja sēdeklis,Yes,Apsildāmi priekšējie sēdekļi,Yes (3Y/0M/0N),"""Apsildāmi priekšējie sēdekļi""","The specification mentions ""Apsildāmi priekšējie sēdekļi,"" confirming that the driver's seat is heated.; Clearly states that the front seats are heated.; The specification mentions ""Apsildāmi priekšējie sēdekļi,"" confirming the presence of heated driver's seat.",☑
NR82,Apsildāms pasažiera sēdeklis,N,Yes,Apsildāms pasažiera sēdeklis,Yes,Apsildāmi priekšējie sēdekļi,Yes (3Y/0M/0N),"""Apsildāms pasažiera sēdeklis""","The specification states ""Apsildāms pasažiera sēdeklis,"" confirming that the passenger seat is heated.; Clearly states that the passenger seat is heated.; The specification mentions ""Apsildāms pasažiera sēdeklis,"" confirming the presence of heated passenger seat.",☑
NR83,Apsildāmi aizmugurējie sēdekļi,N,No,,No,,No (0Y/0M/3N),,No mention of heated rear seats in the specifications.; No mention of heated rear seats in the specifications.; No mention of heated rear seats in the specifications.,☐
NR84,Vadītāja sēdekļa jostasvietas regulēšana manuāli,N,No,,No,,No (0Y/0M/3N),,No mention of manual lumbar adjustment for the driver's seat in the specifications.; No mention of manual lumbar adjustment for the driver's seat in the specifications.; No mention of manual lumbar adjustment for the driver's seat in the specifications.,☐
NR85,Pasažiera sēdekļa jostasvietas regulēšana manuāli,N,No,,No,,No (0Y/0M/3N),,No mention of manual lumbar adjustment for the passenger seat in the specifications.; No mention of manual lumbar adjustment for the passenger seat in the specifications.; No mention of manual lumbar adjustment for the passenger seat in the specifications.,☐
NR86,Vadītāja sēdekļa jostasvietas regulēšana elektriski,N,No,,No,,No (0Y/0M/3N),,No mention of electric lumbar adjustment for the driver's seat in the specifications.; No mention of electrically adjustable driver's seat in the specifications.; No mention of electric lumbar adjustment for the driver's seat in the specifications.,☐
NR87,Pasažiera sēdekļa jostasvietas regulēšana elektriski,N,No,,No,,No (0Y/0M/3N),,No mention of electric lumbar adjustment for the passenger seat in the specifications.; No mention of electrically adjustable passenger seat in the specifications.; No mention of electric lumbar adjustment for the passenger seat in the specifications.,☐
NR88,Elektriski regulējams vadītāja sēdeklis,N,Yes,Elektriski regulējams vadītāja sēdeklis,No,,Yes (3Y/0M/0N),"""Autovadītāja sēdeklis ar regulējamu augstumu""","The specification states ""Autovadītāja sēdeklis ar regulējamu augstumu,"" confirming that the driver's seat is electrically adjustable.; Clearly states that the driver's seat is height adjustable.; The specification mentions ""Autovadītāja sēdeklis ar regulējamu augstumu,"" confirming the presence of an electrically adjustable driver's seat.",☑
NR89,Elektriski regulējams pasažiera sēdeklis,N,No,,No,,No (0Y/0M/3N),,No mention of an electrically adjustable passenger seat in the specifications.; No mention of electrically adjustable passenger seat in the specifications.; No mention of an electrically adjustable passenger seat in the specifications.,☐
NR90,Elektriski regulējams vadītāja sēdeklis ar atmiņu,N,No,,No,,No (0Y/0M/3N),,No mention of an electrically adjustable driver's seat with memory in the specifications.; No mention of electrically adjustable driver's seat with memory in the specifications.; No mention of an electrically adjustable driver's seat with memory in the specifications.,☐
NR91,Elektriski regulējams pasažiera sēdeklis ar atmiņu,N,No,,No,,No (0Y/0M/3N),,No mention of an electrically adjustable passenger seat with memory in the specifications.; No mention of electrically adjustable passenger seat with memory in the specifications.; No mention of an electrically adjustable passenger seat with memory in the specifications.,☐
NR92,Sēdekļu apdare – audums/sintētiskā āda,N,Yes,Monoformas sporta stila sēdekļi ar melnu auduma apdari,Yes,Monoformas sporta stila sēdekļi ar melnu auduma apdari,Yes (3Y/0M/0N),"""Monoformas sporta stila sēdekļi ar melnu auduma apdari""","The specification states ""Monoformas sporta stila sēdekļi ar melnu auduma apdari,"" confirming the seat upholstery is fabric/synthetic leather.; Clearly states the seat upholstery is fabric/synthetic leather.; The specification mentions ""Monoformas sporta stila sēdekļi ar melnu auduma apdari,"" confirming the seat upholstery is fabric/synthetic leather.",☑
NR93,Sēdekļu apdare – Alcantara/sintētiskā āda,N,No,,No,,No (0Y/0M/3N),,No mention of Alcantara/synthetic leather seat upholstery in the specifications.; No mention of Alcantara/synthetic leather seat upholstery in the specifications.; No mention of upholstery made of Alcantara/synthetic leather in the specifications.,☐
NR94,Sēdekļu apdare – sintētiskā āda,N,No,,No,,No (0Y/0M/3N),,No mention of synthetic leather seat upholstery in the specifications.; No mention of synthetic leather seat upholstery in the specifications.; No mention of upholstery made of synthetic leather in the specifications.,☐
NR95,Interjers – Vadītāja Palīdzības Tehnoloģijas,Y,,,,,,,,
NR96,Automātiskā stāvvietas sistēma,N,No,,No,,No (0Y/0M/3N),,No mention of an automatic parking system in the specifications.; No mention of automatic parking system in the specifications.; No mention of an automatic parking system in the specifications.,☐
NR97,Aklā zona uzraudzība,N,No,,No,,No (0Y/0M/3N),,No mention of blind spot monitoring in the specifications.; No mention of blind spot monitoring in the specifications.; No mention of blind spot monitoring in the specifications.,☐
NR98,Aklā zona uzraudzība ar šķērssatiksmes brīdinājumu,N,No,,No,,No (0Y/0M/3N),,No mention of blind spot monitoring with cross-traffic alert in the specifications.; No mention of blind spot monitoring with cross-traffic alert in the specifications.; No mention of blind spot monitoring with cross-traffic alert in the specifications.,☐
NR99,Kruīza Kontrole,Y,,,,,,,,
NR100,Kruīza kontrole - adaptīva,N,Yes,Kruīza kontrole ar ātruma ierobežotāju,Yes,Kruīza kontrole ar ātruma ierobežotāju,Yes (3Y/0M/0N),"""Kruīza kontrole ar ātruma ierobežotāju""","The specification mentions ""Kruīza kontrole ar ātruma ierobežotāju,"" confirming the presence of cruise control.; Clearly states the presence of cruise control with speed limiter.; The specification mentions ""Kruīza kontrole ar ātruma ierobežotāju,"" confirming the presence of cruise control.",☑
NR101,Kruīza kontrole - adaptīva Stop&Go,N,No,,No,,No (0Y/0M/3N),,No mention of adaptive cruise control - Stop&Go in the specifications.; No mention of adaptive cruise control with Stop&Go in the specifications.; No mention of adaptive cruise control with Stop&Go in the specifications.,☐
NR102,Kruīza kontrole - adaptīva satiksmes sastrēgumos,N,No,,No,,No (0Y/0M/3N),,No mention of adaptive cruise control - traffic jam assist in the specifications.; No mention of adaptive cruise control in traffic jams in the specifications.; No mention of adaptive cruise control for traffic jams in the specifications.,☐
NR103,"Kruīza kontrole - adaptīva, balstīta uz navigācijas sistēmu",N,No,,No,,No (0Y/0M/3N),,No mention of adaptive cruise control - based on navigation system in the specifications.; No mention of adaptive cruise control based on navigation system in the specifications.; No mention of adaptive cruise control based on navigation in the specifications.,☐
NR104,Joslas centrs un apdzīšanas palīgs,N,No,,No,,No (0Y/0M/3N),,No mention of lane centering and overtaking assistance in the specifications.; No mention of lane centering and overtaking assistance in the specifications.; No mention of lane centering and overtaking assistance in the specifications.,☐
NR105,Kamera - priekšējais 360° skats,N,Yes,Atpakaļskata kamera,No,,No (0Y/0M/3N),,No mention of a front 360° view camera in the specifications.; No mention of a front 360° camera view in the specifications.; No mention of a front 360° camera in the specifications.,☑
NR106,Kamera - aizmugures skats,N,No,,Yes,Atpakaļskata kamera,Yes (3Y/0M/0N),"""Atpakaļskata kamera""","The specification states ""Atpakaļskata kamera,"" confirming the presence of a rearview camera.; Clearly states the presence of a rear-view camera.; The specification mentions ""Atpakaļskata kamera,"" confirming the presence of a rearview camera.",☑
NR107,Parkošanās palīgsistēma - priekšējie sensori,N,No,,No,,No (0Y/0M/3N),,No mention of front parking assistance - sensors in the specifications.; No mention of front parking assistance system in the specifications.; No mention of front parking sensors in the specifications.,☐
NR108,Parkošanās palīgsistēma - aizmugures sensori,N,No,,No,,No (0Y/0M/3N),,No mention of rear parking assistance - sensors in the specifications.; No mention of rear parking assistance system in the specifications.; No mention of rear parking sensors in the specifications.,☐
NR109,Mehānika -  Šasija,Y,,,,,,,,
NR110,AEBS ar gājēju un velosipēdistu atpazīšanu,N,Yes,Inteliģentā ārkārtas bremzēšanas sistēma ar gājēju un riteņbraucēju atpazīšanas funkciju,Yes,Inteliģentā ārkārtas bremzēšanas sistēma ar gājēju un riteņbraucēju atpazīšanas funkciju,Yes (3Y/0M/0N),"""Inteliģentā ārkārtas bremzēšanas sistēma ar gājēju un riteņbraucēju atpazīšanas funkciju""","The specification mentions ""Inteliģentā ārkārtas bremzēšanas sistēma ar gājēju un riteņbraucēju atpazīšanas funkciju,"" confirming the presence of AEBS with pedestrian and cyclist recognition.; Clearly states the presence of AEBS with pedestrian and cyclist recognition.; The specification mentions ""Inteliģentā ārkārtas bremzēšanas sistēma ar gājēju un riteņbraucēju atpazīšanas funkciju,"" confirming the presence of AEBS with pedestrian and cyclist recognition.",☑
NR111,AEBS ar gājēju atpazīšanu,N,No,,No,,No (0Y/0M/3N),,No mention of AEBS with pedestrian recognition only in the specifications.; No mention of AEBS with pedestrian recognition only in the specifications.; No mention of AEBS with pedestrian recognition only in the specifications.,☐
NR112,Sadursmes mīkstināšana - pēc sadursmes,N,No,,No,,No (0Y/0M/3N),,No mention of collision mitigation - post-collision in the specifications.; No mention of post-collision mitigation in the specifications.; No mention of collision mitigation after a crash in the specifications.,☐
NR113,Stāvvietas bremze - elektriska,N,No,,Yes,Elektroniska rokas bremze ar automātiskās stāvbremzes funkciju,Yes (3Y/0M/0N),"""Elektroniska rokas bremze ar automātiskās stāvbremzes funkciju""","The specification mentions ""Elektroniska rokas bremze ar automātiskās stāvbremzes funkciju,"" confirming the presence of an electric parking brake.; Clearly states the presence of an electric parking brake.; The specification mentions ""Elektroniska rokas bremze ar automātiskās stāvbremzes funkciju,"" confirming the presence of an electric parking brake.",☑
NR114,Mehānika -  Riteņi/Riepas,Y,,,,,,,,
NR115,"17"" tērauda riteņi",N,Yes,"17"" tērauda diski",Yes,"17"" tērauda diski",Yes (3Y/0M/0N),"""17"" tērauda diski""","The specification states ""17"" tērauda diski,"" confirming the presence of 17"" steel wheels.; Clearly states that there are 17"" steel wheels.; The specification mentions ""17"" tērauda diski,"" confirming the presence of 17"" steel wheels.",☑
NR116,"17"" vieglmetāla riteņi",N,No,,No,,No (0Y/0M/3N),,"No mention of 17"" alloy wheels in the specifications.; No mention of 17"" alloy wheels in the specifications.; No mention of 17"" alloy wheels in the specifications.",☐
NR117,"18"" tērauda riteņi",N,No,,No,,No (0Y/0M/3N),,"No mention of 18"" steel wheels in the specifications.; No mention of 18"" steel wheels in the specifications.; No mention of 18"" steel wheels in the specifications.",☐
NR118,"18"" vieglmetāla riteņi",N,No,,No,,No (0Y/0M/3N),,"No mention of 18"" alloy wheels in the specifications.; No mention of 18"" alloy wheels in the specifications.; No mention of 18"" alloy wheels in the specifications.",☐
NR119,"19"" tērauda riteņi",N,No,,No,,No (0Y/0M/3N),,"No mention of 19"" steel wheels in the specifications.; No mention of 19"" steel wheels in the specifications.; No mention of 19"" steel wheels in the specifications.",☐
NR120,"19"" vieglmetāla riteņi",N,No,,No,,No (0Y/0M/3N),,"No mention of 19"" alloy wheels in the specifications.; No mention of 19"" alloy wheels in the specifications.; No mention of 19"" alloy wheels in the specifications.",☐
NR121,"20"" tērauda riteņi",N,No,,No,,No (0Y/0M/3N),,"No mention of 20"" steel wheels in the specifications.; No mention of 20"" steel wheels in the specifications.; No mention of 20"" steel wheels in the specifications.",☐
NR122,"20"" vieglmetāla riteņi",N,No,,No,,No (0Y/0M/3N),,"No mention of 20"" alloy wheels in the specifications.; No mention of 20"" alloy wheels in the specifications.; No mention of 20"" alloy wheels in the specifications.",☐
NR123,Rezerves ritenis,N,No,,No,,No (0Y/0M/3N),,No mention of a spare wheel in the specifications.; No mention of a spare tire in the specifications.; No mention of a spare wheel in the specifications.,☐
NR124,Piekabes āķis,N,No,,No,,No (0Y/0M/3N),,No mention of a tow hitch in the specifications.; No mention of a towing hitch in the specifications.; No mention of a tow hitch in the specifications.,☐
NR125,Drošība Un Aizsardzība,Y,,,,,,,,
NR126,Gaisa spilveni - ceļgaliem vai centrā,N,No,,Yes,"Autovadītāja un pasažiera gaisa drošības spilveni, sānu un aizkarveida gaisa drošības spilveni",No (0Y/0M/3N),,No mention of knee or center airbags in the specifications.; No mention of knee or center airbags in the specifications.; No mention of knee or center airbags in the specifications.,☑
NR127,Gaisa spilveni - aizkari,N,Yes,Aizkarveida gaisa drošības spilveni,Yes,Aizkarveida gaisa drošības spilveni,Yes (3Y/0M/0N),"""aizkarveida gaisa drošības spilveni""","The specification mentions ""aizkarveida gaisa drošības spilveni,"" confirming the presence of curtain airbags.; Clearly states the presence of curtain airbags.; The specification mentions ""aizkarveida gaisa drošības spilveni,"" confirming the presence of curtain airbags.",☑
NR128,Gaisa spilveni – sānu,N,Yes,Sānu gaisa drošības spilveni,Yes,Sānu gaisa drošības spilveni,Yes (3Y/0M/0N),"""sānu un aizkarveida gaisa drošības spilveni""","The specification states ""sānu un aizkarveida gaisa drošības spilveni,"" confirming the presence of side airbags.; Clearly states the presence of side airbags.; The specification mentions ""sānu gaisa drošības spilveni,"" confirming the presence of side airbags.",☑
NR129,Signalizācija – perimetra,N,Yes,Rūpnīcā uzstādīta signalizācija,Yes,Rūpnīcā uzstādīta signalizācija,Yes (3Y/0M/0N),"""Rūpnīcā uzstādīta signalizācija""","The specification mentions ""Rūpnīcā uzstādīta signalizācija,"" confirming the presence of perimeter alarm.; Clearly states the presence of factory-installed alarm.; The specification mentions ""Rūpnīcā uzstādīta signalizācija,"" confirming the presence of perimeter alarm.",☑
