Nr Code,Variable Name,Is TT,Match (Yes/No/Maybe),Matching Text,LLM_Reason
NR49,Priekšējie lukturi – adaptīvie LED bez Matrix vai Glare Free,N,No,,No equivalent adaptive LED headlight feature found
NR50,Priekšējie lukturi – adaptīvie LED ar Matrix vai Glare Free,N,No,,No equivalent matrix LED headlight feature found
NR51,Interjers – Komforts/Ērtības,Y,,,
NR52,Gaisa kondicionētājs,N,No,,No equivalent air conditioning feature found
NR53,Gaisa kondicionētājs - EATC 1 zona,N,Yes,Automatic air conditioning system,Automatic air conditioning matches
NR54,Gaisa kondicionētājs - EATC 2 zonas,N,No,,No equivalent dual-zone air conditioning feature found
NR55,Gaisa kondicionētājs - EATC 3 zonas,N,No,,No equivalent tri-zone air conditioning feature found
NR56,Salona gaisa attīrītājs,N,No,,No equivalent air purifier feature found
NR57,Apgaismojums - salons ar daudzkrāsu LED,N,No,,No equivalent multi-color LED interior lighting feature found
NR58,Centrālā konsole ar roku balstu,N,Yes,Front armrest,Central console with armrest matches
NR59,Automātiski tumšojams salona spogulis,N,No,,No equivalent auto-dimming mirror feature found
NR60,12 V bagāžas nodalījumā,N,No,,No equivalent 12V trunk outlet feature found
NR61,Bezvadu uzlāde,N,No,,No equivalent wireless charging feature found
NR62,Interjers – In Car Entertainment/Komunikācijas,Y,,,
NR63,"Daudzfunkcionāls skārienjūtīgais ekrāns - 6 - 7,9""",N,Yes,"7"" color advanced driver assist display (ADAD) in instrument panel",Display size matches
NR64,"Daudzfunkcionāls skārienjūtīgais ekrāns - 8 - 9,9""",N,No,,"No equivalent 8-9.9"" touchscreen feature found"
NR65,"Daudzfunkcionāls skārienjūtīgais ekrāns - 10 - 11,9""",N,No,,"No equivalent 10-11.9"" touchscreen feature found"
NR66,"Daudzfunkcionāls skārienjūtīgais ekrāns - 12 - """,N,Yes,"12.3"" touchscreen",Touchscreen size matches
NR67,Zīmola audio sistēma,N,No,,No equivalent branded audio system feature found
NR68,Navigācijas centrs,N,No,,No equivalent navigation center feature found
NR69,Navigācijas centrs - savienots,N,No,,No equivalent connected navigation feature found
NR70,Android Auto un Apple CarPlay,N,No,,No equivalent Android Auto and Apple CarPlay feature found
NR71,Android Auto un Apple CarPlay - bezvadu,N,Yes,Wireless Apple CarPlay®,Wireless functionality matches
NR72,Vieds palīgs ar AI,N,No,,No equivalent AI assistant feature found
NR73,Avārijas zvans,N,Yes,Emergency and breakdown call (eCall),Emergency call matches
NR74,Head - Up displejs,N,No,,No equivalent head-up display feature found
NR75,Salons -  Instrumenti/Vadības Elementi,Y,,,
NR76,Apsildāms stūres rats,N,No,,No equivalent heated steering wheel feature found
NR77,Ādas (ieskaitot Sensico) stūres rats,N,No,,No equivalent leather steering wheel feature found
NR78,"Digitālais displejs - 8,9 collas",N,No,,"No equivalent 8.9"" digital display feature found"
NR79,"Digitālais displejs 9“ - 11,9”",N,No,,"No equivalent 9-11.9"" digital display feature found"
NR80,"Digitālais displejs 12+""",N,No,,"No equivalent 12+"" digital display feature found"
NR81,Interjers -  Sēdekļi,Y,,,
NR82,Apsildāms vadītāja sēdeklis,N,Yes,Heated front seats,Heated driver's seat matches
NR83,Apsildāms pasažiera sēdeklis,N,No,,No equivalent heated passenger seat feature found
NR84,Apsildāmi aizmugurējie sēdekļi,N,No,,No equivalent heated rear seats feature found
NR85,Vadītāja sēdekļa jostasvietas regulēšana manuāli,N,No,,No equivalent manual lumbar adjustment feature found
NR86,Pasažiera sēdekļa jostasvietas regulēšana manuāli,N,No,,No equivalent manual lumbar adjustment feature found
NR87,Vadītāja sēdekļa jostasvietas regulēšana elektriski,N,No,,No equivalent electric lumbar adjustment feature found
NR88,Pasažiera sēdekļa jostasvietas regulēšana elektriski,N,No,,No equivalent electric lumbar adjustment feature found
NR89,Elektriski regulējams vadītāja sēdeklis,N,No,,No equivalent electrically adjustable driver's seat feature found
NR90,Elektriski regulējams pasažiera sēdeklis,N,No,,No equivalent electrically adjustable passenger seat feature found
NR91,Elektriski regulējams vadītāja sēdeklis ar atmiņu,N,No,,No equivalent memory driver's seat feature found
NR92,Elektriski regulējams pasažiera sēdeklis ar atmiņu,N,No,,No equivalent memory passenger seat feature found
NR93,Sēdekļu apdare – audums/sintētiskā āda,N,No,,No equivalent fabric/synthetic leather upholstery feature found
NR94,Sēdekļu apdare – Alcantara/sintētiskā āda,N,No,,No equivalent Alcantara/synthetic leather upholstery feature found
NR95,Sēdekļu apdare – sintētiskā āda,N,No,,No equivalent synthetic leather upholstery feature found
NR96,Interjers – Vadītāja Palīdzības Tehnoloģijas,Y,,,
NR97,Automātiskā parkošanās sistēma,N,No,,No equivalent automatic parking system feature found
NR98,Aklās zona uzraudzība,N,No,,No equivalent blind spot monitoring feature found
NR99,Aklās zona uzraudzība ar šķērssatiksmes brīdinājumu,N,No,,No equivalent cross-traffic alert feature found
NR100,Kruīza kontrole,N,Yes,Cruise control with speed limiter,Cruise control matches
NR101,Kruīza kontrole - adaptīva,N,No,,No equivalent adaptive cruise control feature found
NR102,Kruīza kontrole - adaptīva Stop&Go,N,No,,No equivalent adaptive Stop&Go cruise control feature found
NR103,Kruīza kontrole - adaptīva satiksmes sastrēgumos,N,No,,No equivalent traffic jam cruise control feature found
NR104,"Kruīza kontrole - adaptīva, balstīta uz navigācijas sistēmu",N,No,,No equivalent navigation-based cruise control feature found
NR105,Joslas centrēšnas un apdzīšanas palīgs,N,No,,No equivalent lane centering and overtaking assist feature found
NR106,Kamera - priekšējais 360° skats,N,No,,No equivalent front 360° camera feature found
NR107,Kamera - aizmugurējais skats,N,Yes,Rearview camera,Rearview camera matches
NR108,Parkošanās palīgsistēma – priekšējie sensori,N,No,,No equivalent front parking sensors feature found
NR109,Parkošanās palīgsistēma – aizmugurējie sensori,N,No,,No equivalent rear parking sensors feature found
NR110,Mehānika – Šasija,Y,,,
NR111,AEBS ar gājēju un velosipēdistu atpazīšanu,N,Yes,Intelligent emergency braking system with pedestrian and cyclist recognition,AEBS with recognition matches
NR112,Sadursmes mīkstināšana –2. sadursme,N,No,,No equivalent collision mitigation feature found
NR113,Stāvbremze – elektriska,N,Yes,Electronic handbrake with automatic parking brake function,Electric parking brake matches
NR114,Mehānika – Rati/Riepas,Y,,,
NR115,"16"" tērauda rati",N,No,,"No equivalent 16"" steel wheels feature found"
NR116,"16"" vieglmetāla rati",N,No,,"No equivalent 16"" alloy wheels feature found"
NR117,"17"" tērauda riteņi",N,Yes,"17"" steel wheels, Sakura","17"" steel wheels match"
NR118,"17"" vieglmetāla riteņi",N,No,,"No equivalent 17"" alloy wheels feature found"
NR119,"18"" tērauda riteņi",N,No,,"No equivalent 18"" steel wheels feature found"
NR120,"18"" vieglmetāla riteņi",N,No,,"No equivalent 18"" alloy wheels feature found"
NR121,"19"" vieglmetāla riteņi",N,No,,"No equivalent 19"" alloy wheels feature found"
NR122,Rezerves ritenis,N,No,,No equivalent spare wheel feature found
NR123,Riteņu pārsegi,N,No,,No equivalent wheel covers feature found
NR124,Drošība Un Aizsardzība,Y,,,
NR125,Gaisa spilveni – ceļgaliem vai centrā,N,No,,No equivalent knee or center airbags feature found
NR126,Gaisa spilveni – aizkari,N,Yes,"Driver and passenger airbags, side and curtain airbags",Curtain airbags match
NR127,Gaisa spilveni – sānos,N,Yes,"Driver and passenger airbags, side and curtain airbags",Side airbags match
NR128,Signalizācija – perimetrs,N,Yes,Factory-installed alarm,Perimeter alarm matches
NR129,Bezatslēgas iedarbināšana,N,No,,No equivalent keyless start feature found
NR130,Bezatslēgas piekļuve,N,No,,No equivalent keyless entry feature found
NR131,Garantija,Y,,,
NR132,Papildus garantija – 2 gadi,N,No,,No equivalent 2-year extended warranty feature found
NR133,Papildus garantija – 3 gadi,N,No,,No equivalent 3-year extended warranty feature found
NR134,Papildus garantija – 4 gadi,N,No,,No equivalent 4-year extended warranty feature found
NR135,Papildus garantija – 5 gadi,N,No,,No equivalent 5-year extended warranty feature found
NR136,Papildus garantija – 6 gadi,N,No,,No equivalent 6-year extended warranty feature found
NR137,Papildus garantija – 7 gadi,N,No,,No equivalent 7-year extended warranty feature found
NR138,Papildus garantija – 10 gadi,N,No,,No equivalent 10-year extended warranty feature found
