Nr Code,Variable Name,Is TT
NR91,Elektriski regulējams pasažiera sēdeklis ar atmiņu,N
NR92,Sēdekļu apdare – audums/sintētiskā āda,N
NR93,Sēdekļu apdare – Alcantara/sintētiskā āda,N
NR94,Sēdekļu apdare – sintētiskā āda,N
NR95,Interjers – Vadītāja Palīdzības Tehnoloģijas,Y
NR96,Automātiskā stāvvietas sistēma,N
NR97,Aklā zona uzraudzība,N
NR98,Aklā zona uzraudzība ar šķērssatiksmes brīdinājumu,N
NR99,Kruīza Kontrole,N
NR100,Kruīza kontrole - adaptīva,N
NR101,Kruīza kontrole - adaptīva Stop&Go,N
NR102,Kruīza kontrole - adaptīva satiksmes sastrēgumos,N
NR103,"Kruīza kontrole - adaptīva, balstīta uz navigācijas sistēmu",N
NR104,Joslas centrs un apdzīšanas palīgs,N
NR105,Kamera - priekšējais 360° skats,N
NR106,Kamera - aizmugures skats,N
NR107,Parkošanās palīgsistēma - priekšējie sensori,N
NR108,Parkošanās palīgsistēma - aizmugures sensori,N
NR109,Mehānika -  Šasija,Y
NR110,AEBS ar gājēju un velosipēdistu atpazīšanu,N
NR111,AEBS ar gājēju atpazīšanu,N
NR112,Sadursmes mīkstināšana - pēc sadursmes,N
NR113,Stāvvietas bremze - elektriska,N
NR114,Mehānika -  Riteņi/Riepas,Y
NR115,"17"" tērauda riteņi",N
NR116,"17"" vieglmetāla riteņi",N
NR117,"18"" tērauda riteņi",N
NR118,"18"" vieglmetāla riteņi",N
NR119,"19"" tērauda riteņi",N
NR120,"19"" vieglmetāla riteņi",N
NR121,"20"" tērauda riteņi",N
NR122,"20"" vieglmetāla riteņi",N
NR123,Rezerves ritenis,N
NR124,Piekabes āķis,N
NR125,Drošība Un Aizsardzība,Y
NR126,Gaisa spilveni - ceļgaliem vai centrā,N
NR127,Gaisa spilveni - aizkari,N
NR128,Gaisa spilveni – sānu,N
NR129,Signalizācija – perimetra,N
NR130,Bezatslēgas iedarbināšana,N
NR131,Bezatslēgas piekļuve un iedarbināšana,N
NR132,Garantija,Y
NR133,Papildus garantija – 3 gadi,N
NR134,Papildus garantija – 4 gadi,N
NR135,Papildus garantija – 5 gadi,N
NR136,Papildus garantija – 6 gadi,N
NR137,Papildus garantija – 7 gadi,N
NR138,8 gadu akumulatora garantija,N
