Nr Code,Variable Name,Is TT,Match (Yes/No/Maybe),Matching Text,LLM_Reason
NR102,AEBS ar gājēju atpazīšanu,N,No,,No equivalent AEBS with pedestrian recognition feature found
NR103,Autonomā avārijas bremzēšanas sistēma (AEBS),N,No,,No equivalent autonomous emergency braking system feature found
NR104,Sadursmes mīkstināšana – 2. sadursme,N,No,,No equivalent collision mitigation feature found
NR105,Stāvbremze – elektriska,N,Yes,Electronic parking brake with auto-hold function,Electric parking brake matches
NR106,Mehāniskais – Rati/Riepas,Y,,,
NR107,"16"" tērauda riteņi",N,No,,"No equivalent 16"" steel wheels feature found"
NR108,"16"" vieglmetāla riteņi",N,No,,"No equivalent 16"" alloy wheels feature found"
NR109,"17"" tērauda riteņi",N,Yes,"17"" steel wheels, Sakura","17"" steel wheels match"
NR110,"17"" vieglmetāla riteņi",N,No,,"No equivalent 17"" alloy wheels feature found"
NR111,"18"" vieglmetāla riteņi",N,No,,"No equivalent 18"" alloy wheels feature found"
NR112,"19"" vieglmetāla riteņi",N,No,,"No equivalent 19"" alloy wheels feature found"
NR113,Rezerves ritenis,N,No,,No equivalent spare wheel feature found
NR114,Riteņu pārsegi,N,No,,No equivalent wheel covers feature found
NR115,Drošība Un Aizsardzība,Y,,,
NR116,Gaisa spilveni - ceļgaliem vai centrā,N,No,,No equivalent knee or center airbags feature found
NR117,Gaisa spilveni - aizkari,N,Yes,"Driver and passenger airbags, side and curtain airbags",Curtain airbags match
NR118,Gaisa spilveni - sānos,N,Yes,"Driver and passenger airbags, side and curtain airbags",Side airbags match
NR119,Signalizācija - perimetrs,N,Yes,Factory-installed alarm,Perimeter alarm matches
NR120,Bezatslēgas iedarbināšana,N,No,,No equivalent keyless start feature found
NR121,Bezatslēgas piekļuve,N,No,,No equivalent keyless entry feature found
NR122,Garantija,Y,,,
NR123,Pagarināta garantija – 2 gadi,N,No,,No equivalent extended warranty feature found
NR124,Pagarināta garantija – 3 gadi,N,No,,No equivalent extended warranty feature found
NR125,Pagarināta garantija – 4 gadi,N,No,,No equivalent extended warranty feature found
NR126,Pagarināta garantija – 5 gadi,N,No,,No equivalent extended warranty feature found
NR127,Pagarināta garantija – 6 gadi,N,No,,No equivalent extended warranty feature found
NR128,Pagarināta garantija – 7 gadi,N,No,,No equivalent extended warranty feature found
NR129,Pagarināta garantija – 10 gadi,N,No,,No equivalent extended warranty feature found
