Nr Code,Variable Name,Is TT,Match (Yes/No/Maybe),Include,Matching Text,LLM_Reason,Accepted
NR114,Riteņu pārsegi,N,No,N,,,
NR115,— DROŠĪBA UN AIZSARDZĪBA —,Y,,,,,
NR116,Gaisa spilveni - ceļgaliem vai centrā,N,Yes,Y,"""Galvas drošības spilvenu sistēma (aizkari)""",,X
NR117,Gaisa spilveni - aizkari,N,Yes,Y,"""priekšējie sānu un centrālais drošības spilveni""",,X
NR118,Gaisa spilveni - sānos,N,Yes,Y,"""priekšējie sānu un centrālais drošības spilveni""",,X
NR119,Signalizācija - perimetrs,N,Yes,Y,"""Signalizācija ar salona aizsardzības funkciju""",,X
NR120,Bezatslēgas iedarbināšana,N,Yes,Y,"""Bezatslēgas piekļuves un dzinēja startēšana sistēma Kessy""",,X
NR121,Bezatslēgas piekļuve,N,Yes,Y,"""Bezatslēgas piekļuves un dzinēja startēšana sistēma Kessy""",,X
NR122,— GARANTIJA —,Y,,,,,
NR123,Pagarināta garantija – 2 gadi,N,No,Y,"""Ražotāja garantija - 5 gadi ar 100 000km nobraukuma ierobežojumu""",,X
NR124,Pagarināta garantija – 3 gadi,N,No,N,,,
NR125,Pagarināta garantija – 4 gadi,N,No,N,,,
NR126,Pagarināta garantija – 5 gadi,N,Yes,Y,"""Ražotāja garantija - 5 gadi ar 100 000km nobraukuma ierobežojumu""",,X
NR127,Pagarināta garantija – 6 gadi,N,No,N,,,
NR128,Pagarināta garantija – 7 gadi,N,No,N,,,
NR129,Pagarināta garantija – 10 gadi,N,No,N,,,
