Nr Code,Variable Name,Is TT,LV Match,EN Match,Final Match,Include,LV Text,EN Text,Consensus Reasoning,Accepted
NR55,Centrālā konsole ar roku balstu,N,No,,Maybe,☑,Kabatas priekšējo sēdekļu aizmugurē un elkoņbalsts aizmugurē,No (0Y/1M/2N),Centrālā console,
NR56,Apgaismojums – salons ar daudzkrāsu LED,N,Yes,Noskaņu radošs LED apgaismojums,Yes,☑,Noskaņu radošs LED apgaismojums,Yes (3Y/0M/0N),Noskaņu radošs LED apgaismojums,
NR57,Automātiski tumšojams salona spogulis,N,Yes,Automātiski aptumšojošs automobiļa salona atpakaļskata spogulis bez rāmja,Yes,☑,Automātiski aptumšojošs automobiļa salona atpakaļskata spogulis bez rāmja,Yes (3Y/0M/0N),Automātiski aptumšojošs automobiļa salona atpakaļskata spogulis bez rāmja,
NR58,Elektrības pieslēgums – aizmugurē,N,Yes,"USB pieslēgvietas priekšā un aizmugurē (""A"" un ""C"" tipa)",No,☐,,Yes (3Y/0M/0N),"USB pieslēgvietas priekšā un aizmugurē (""A"" un ""C"" tipa)",
NR59,Bezvadu uzlāde,N,Yes,Bezvadu viedtālruņa lādētājs,Yes,☑,Bezvadu viedtālruņa lādētājs,Yes (3Y/0M/0N),Bezvadu viedtālruņa lādētājs,
NR60,Interjers – In Car Entertainment/Komunikācijas,Y,,,,☐,,,,
NR61,Zīmola skaņas sistēma ar vairāk nekā 6 skaļruņiem,N,No,,No,☐,,No (0Y/0M/3N),,
NR62,"Daudzfunkcionāls skārienjūtīgais ekrāns - 6 - 8""",N,No,,No,☐,,No (0Y/0M/3N),,
NR63,"Daudzfunkcionāls skārienjūtīgais ekrāns - 8 - 10""",N,No,,No,☐,,No (0Y/0M/3N),,
NR64,"Daudzfunkcionāls skārienjūtīgais ekrāns - 10 - 12""",N,No,,No,☐,,No (0Y/0M/3N),,
NR65,"Daudzfunkcionāls skārienjūtīgais ekrāns - 12 - """,N,Yes,"Divi 12,3"" TFT ekrāni ar braukšanas rādījumu un navigācijas informācijas attēlošanu",Yes,☑,"Divi 12,3"" TFT ekrāni ar braukšanas rādījumu un navigācijas informācijas attēlošanu",Maybe (1Y/0M/2N),"Divi 12,3"" TFT ekrāni",
NR66,Navigācijas centrs,N,Yes,"Divi 12,3"" TFT ekrāni ar braukšanas rādījumu un navigācijas informācijas attēlošanu",No,☐,,Maybe (2Y/1M/0N),"Divi 12,3"" TFT ekrāni ar braukšanas rādījumu un navigācijas informācijas attēlošanu",
NR67,Navigācijas centrs - savienots,N,No,,No,☐,,No (0Y/2M/1N),"Divi 12,3"" TFT ekrāni ar braukšanas rādījumu un navigācijas informācijas attēlošanu",
NR68,Android Auto un Apple CarPlay,N,Yes,Bezvadu Apple Car Play un ar vadu savienojams Android Auto,Yes,☑,Bezvadu Apple Car Play un ar vadu savienojams Android Auto,Yes (3Y/0M/0N),Bezvadu Apple Car Play un ar vadu savienojams Android Auto,
NR69,Android Auto un Apple CarPlay - bezvadu,N,Yes,Bezvadu Apple Car Play un ar vadu savienojams Android Auto,Yes,☑,Bezvadu Apple Car Play un ar vadu savienojams Android Auto,Yes (3Y/0M/0N),Bezvadu Apple Car Play un ar vadu savienojams Android Auto,
NR70,Vieds palīgs ar AI,N,No,,No,☐,,No (0Y/0M/3N),,
NR71,Head - Up displejs,N,No,,No,☐,,No (0Y/0M/3N),,
NR72,Interjers -  Instrumenti/Vadības Elementi,Y,,,,☐,,,,
NR73,Apsildāms stūres rats,N,Yes,Apsildāma stūre ar ādas apdari,Yes,☑,Apsildāma stūre ar ādas apdari,Yes (3Y/0M/0N),Apsildāma stūre ar ādas apdari,
NR74,Ādas stūres rats,N,Yes,Apsildāma stūre ar ādas apdari,Yes,☑,Apsildāma stūre ar ādas apdari,Yes (3Y/0M/0N),Apsildāma stūre ar ādas apdari,
NR75,"Digitālais displejs – līdz 8,9 collas",N,No,,No,☐,,No (0Y/0M/3N),,
NR76,"Digitālais displejs 9–11,9 collas",N,No,,No,☐,,No (0Y/0M/3N),,
NR77,Digitālais displejs 12+ collas,N,Yes,"Divi 12,3"" TFT ekrāni ar braukšanas rādījumu un navigācijas informācijas attēlošanu",Yes,☑,"Divi 12,3"" TFT ekrāni ar braukšanas rādījumu un navigācijas informācijas attēlošanu",Yes (3Y/0M/0N),"Divi 12,3"" TFT ekrāni",
NR78,Interjers -  Sēdekļi,Y,,,,☐,,,,
NR79,Apsildāms vadītāja sēdeklis,N,Yes,Apsildāmi priekšējie sēdekļ,Yes,☑,Apsildāmi priekšējie sēdekļ,Yes (3Y/0M/0N),Apsildāmi priekšējie sēdekļ,
NR80,Apsildāms pasažiera sēdeklis,N,Yes,Apsildāmi priekšējie sēdekļ,Yes,☑,Apsildāmi priekšējie sēdekļ,Yes (3Y/0M/0N),Apsildāmi priekšējie sēdekļ,
NR81,Apsildāmi aizmugurējie sēdekļi,N,No,,No,☐,,No (0Y/0M/3N),,
NR82,Vadītāja sēdekļa jostasvietas regulēšana manuāli,N,No,,No,☐,,No (0Y/0M/3N),,
NR83,Pasažiera sēdekļa jostasvietas regulēšana manuāli,N,No,,No,☐,,No (0Y/0M/3N),,
NR84,Vadītāja sēdekļa jostasvietas regulēšana elektriski,N,No,,No,☐,,Maybe (1Y/0M/2N),Autovadītāja sēdekļa jostas vietas atbalsts,
NR85,Pasažiera sēdekļa jostasvietas regulēšana elektriski,N,No,,No,☐,,No (0Y/0M/3N),,
NR86,Vadītāja sēdekļa elektriska regulēšana,N,Yes,6 virzienos elektriski regulējami autovadītāja un priekšējā pasažiera sēdekļi,Yes,☑,6 virzienos elektriski regulējami autovadītāja un priekšējā pasažiera sēdekļi,Yes (3Y/0M/0N),6 virzienos elektriski regulējami autovadītāja un priekšējā pasažiera sēdekļi,
NR87,Pasažiera sēdekļa elektriska regulēšana,N,Yes,6 virzienos elektriski regulējami autovadītāja un priekšējā pasažiera sēdekļi,Yes,☑,6 virzienos elektriski regulējami autovadītāja un priekšējā pasažiera sēdekļi,Yes (3Y/0M/0N),6 virzienos elektriski regulējami autovadītāja un priekšējā pasažiera sēdekļi,
NR88,Elektriski regulējams vadītāja sēdeklis ar atmiņu,N,No,,No,☐,,No (0Y/0M/3N),,
NR89,Elektriski regulējams pasažiera sēdeklis ar atmiņu,N,No,,No,☐,,No (0Y/0M/3N),,
NR90,Sēdekļu apdare - audums/sintētiska āda,N,Yes,Sēdekļi ar daļēju PVC un auduma apdari,Yes,☑,"Sēdekļi ar daļēju PVC un auduma apdari, Black",Yes (3Y/0M/0N),"Sēdekļi ar daļēju PVC un auduma apdari, Black",
NR91,Sēdekļu apdare - Alcantara/sintētiska āda,N,No,,No,☐,,No (0Y/0M/3N),,
NR92,Sēdekļu apdare - sintētiska āda,N,No,,No,☐,,No (0Y/0M/3N),,
NR93,Interjers -  Vadītāja Palīdzības Tehnoloģijas,Y,,,,☐,,,,
NR94,Automātiskā parkošanās sistēma,N,No,,No,☐,,No (0Y/0M/3N),,
NR95,Aklās zona uzraudzība,N,Yes,"""Aklās"" zonas brīdinājuma sistēma un ""aklās"" zonas palīgsistēma",Yes,☑,"""Aklās"" zonas brīdinājuma sistēma un ""aklās"" zonas palīgsistēma",Yes (3Y/0M/0N),"""Aklās"" zonas brīdinājuma sistēma un ""aklās"" zonas palīgsistēma",
NR96,Aklās zona uzraudzība ar krustojuma satiksmes brīdinājumu,N,No,,Yes,☑,Aizmugurējā ārkārtas bremzēšanas sistēma ar gājēju atpazīšanas sistēmu un brīdinājums par satiksmi aizmugurē,Maybe (1Y/0M/2N),Aizmugurējā ārkārtas bremzēšanas sistēma ar gājēju atpazīšanas sistēmu un brīdinājums par satiksmi aizmugurē,
NR97,Kruīza kontrole,N,No,,No,☐,,Maybe (2Y/0M/1N),Inteliģentā kruīza kontrole,
NR98,Kruīza kontrole – adaptīvā,N,Yes,nteliģentā kruīza kontrole,Yes,☑,nteliģentā kruīza kontrole,Yes (3Y/0M/0N),nteliģentā kruīza kontrole,
NR99,Kruīza kontrole – adaptīvā Stop&Go,N,No,,No,☐,,No (0Y/0M/3N),,
NR100,Kruīza kontrole – adaptīvā satiksmes sastrēgumu gadījumā,N,No,,Yes,☑,"Satiksmes sastrēgumu ""pilota"" sistēma",Yes (3Y/0M/0N),Pro PILOT Assist ar Navi-Link,
NR101,"Kruīza kontrole – adaptīvā, balstīta uz navigācijas sistēmu",N,Yes,Pro PILOT Assist ar Navi-Link,Yes,☑,Pro PILOT Assist ar Navi-Link,Yes (3Y/0M/0N),Pro PILOT Assist ar Navi-Link,
NR102,Joslas centrēšana un apdzīšanas palīgs,N,No,,Yes,☑,Inteliģentā braukšanas joslas saglabāšanas palīgsistēma,No (0Y/0M/3N),,
NR103,Kamera – priekšējais 360° skats,N,Yes,nteliģentais apkārtskata monitors (360° kamera),Yes,☑,nteliģentais apkārtskata monitors (360° kamera),Yes (3Y/0M/0N),nteliģentais apkārtskata monitors (360° kamera),
NR104,Kamera – aizmugurējais skats,N,No,,No,☐,,No (0Y/0M/3N),,
NR105,Stāvvietas palīgs – priekšējie sensori,N,Yes,Priekšējie un aizmugurējie automobiļa stāvvietā novietošanas sensori,Yes,☑,Priekšējie un aizmugurējie automobiļa stāvvietā novietošanas sensori,Yes (3Y/0M/0N),Priekšējie un aizmugurējie automobiļa stāvvietā novietošanas sensori,
NR106,Stāvvietas palīgs – aizmugurējie sensori,N,Yes,Priekšējie un aizmugurējie automobiļa stāvvietā novietošanas sensori,Yes,☑,Priekšējie un aizmugurējie automobiļa stāvvietā novietošanas sensori,Yes (3Y/0M/0N),Priekšējie un aizmugurējie automobiļa stāvvietā novietošanas sensori,
NR107,Mehāniskais -  Šasija,Y,,,,☐,,,,
NR108,AEBS ar gājēju un velosipēdistu atpazīšanu,N,Yes,Inteliģentā ārkārtas bremzēšanas sistēma ar gājēju un riteņbraucēju atpazīšanas sistēmu,Yes,☑,Inteliģentā ārkārtas bremzēšanas sistēma ar gājēju un riteņbraucēju atpazīšanas sistēmu un krustojumu palīgsistēmu,Yes (3Y/0M/0N),Inteliģentā ārkārtas bremzēšanas sistēma ar gājēju un riteņbraucēju atpazīšanas sistēmu,
NR109,Sadursmes mīkstināšana - pēc sadursmes,N,No,,No,☐,,No (0Y/0M/3N),,
NR110,Stāvbremze - elektriska,N,Yes,"Elektroniskā stāvbremze un ""Auto Hold"" funkcija",Yes,☑,"Elektroniskā stāvbremze un ""Auto Hold"" funkcija",Yes (3Y/0M/0N),"Elektroniskā stāvbremze un ""Auto Hold"" funkcija",
NR111,Mehāniskais -  Riteņi/Riepas,Y,,,,☐,,,,
NR112,"17"" tērauda riteņi",N,No,,No,☐,,No (0Y/0M/3N),,
NR113,"17"" vieglmetāla riteņi",N,No,,No,☐,,No (0Y/0M/3N),,
NR114,"18"" tērauda riteņi",N,No,,No,☐,,No (0Y/0M/3N),,
NR115,"18"" vieglmetāla riteņi",N,No,,No,☐,,No (0Y/0M/3N),,
NR116,"19"" vieglmetāla riteņi",N,Yes,"19"" vieglmetāla diski ar aerodinamiskām uzlikām",Yes,☑,"19"" vieglmetāla diski ar aerodinamiskām uzlikām",Yes (3Y/0M/0N),"19"" vieglmetāla diski ar aerodinamiskām uzlikām",
NR117,"20"" vieglmetāla riteņi",N,No,,No,☐,,No (0Y/0M/3N),,
NR118,Rezerves ritenis,N,No,,No,☐,,No (0Y/0M/3N),,
NR119,Piekabes āķis,N,No,,No,☐,,No (0Y/0M/3N),,
NR120,Drošība Un Aizsardzība,Y,,,,☐,,,,
NR121,Gaisa spilveni - ceļgaliem,N,No,,No,☐,,No (0Y/0M/3N),,
NR122,Gaisa spilveni - aizkari,N,Yes,"Priekšējie, sānu un aizkarveida gaisa drošības spilveni autovadītājam un pasažieriem",Yes,☑,"Priekšējie, sānu un aizkarveida gaisa drošības spilveni autovadītājam un pasažieriem",Yes (3Y/0M/0N),"Priekšējie, sānu un aizkarveida gaisa drošības spilveni autovadītājam un pasažieriem",
NR123,Gaisa spilveni - sāniem,N,Yes,"Priekšējie, sānu un aizkarveida gaisa drošības spilveni autovadītājam un pasažieriem",Yes,☑,"Priekšējie, sānu un aizkarveida gaisa drošības spilveni autovadītājam un pasažieriem",Yes (3Y/0M/0N),"Priekšējie, sānu un aizkarveida gaisa drošības spilveni autovadītājam un pasažieriem",
NR124,Signalizācija - perimetrs,N,Yes,Signalizācija ar drošības un pretaizdzīšanas aizsardzību,Yes,☑,Signalizācija ar drošības un pretaizdzīšanas aizsardzību,Maybe (2Y/0M/1N),Signalizācija ar drošības un pretaizdzīšanas aizsardzību,
NR125,Bezatslēgas iedarbināšana,N,No,,No,☐,,No (0Y/0M/3N),,
NR126,Bezatslēgas ieeja un iedarbināšana,N,No,,Yes,☑,Inteliģentā atslēga,Yes (3Y/0M/0N),Inteliģentā atslēga,
NR127,Garantija,Y,,,,☐,,,,
NR128,Papildus garantija - 2 gadi,N,No,,No,☐,,No (0Y/0M/3N),,
NR129,Pagarināta garantija – 3 gadi,N,No,,No,☐,,No (0Y/0M/3N),,
NR130,Pagarināta garantija – 4 gadi,N,No,,No,☐,,No (0Y/0M/3N),,
NR131,Pagarināta garantija – 5 gadi,N,No,,No,☐,,No (0Y/0M/3N),,
NR132,Pagarināta garantija – 6 gadi,N,No,,No,☐,,No (0Y/0M/3N),,
NR133,Pagarināta garantija – 7 gadi,N,No,,No,☐,,No (0Y/0M/3N),,
NR134,Garantijas nobraukums,N,No,,No,☐,,No (0Y/0M/3N),,
NR135,Garantijas nobraukums,N,No,,No,☐,,No (0Y/0M/3N),,
NR136,Garantijas nobraukums,N,No,,No,☐,,No (0Y/0M/3N),,
NR137,Garantijas nobraukums,N,No,,No,☐,,No (0Y/0M/3N),,
NR138,Bez nobraukuma ierobežojuma,N,No,,No,☐,,No (0Y/0M/3N),,
NR139,Akumulatora garantija,N,No,,No,☐,,No (0Y/0M/3N),,
