Nr Code,Variable Name,Is TT,Match (Yes/No/Maybe),Include,Matching Text,LLM_Reason,Accepted
NR116,"19"" vieglmetāla riteņi",N,"19"" vieglmetāla diski ar aerodinamiskām uzlikām",N,"19"" vieglmetāla diski ar aerodinamiskām uzlikām","19"" vieglmetāla diski ar aerodinamiskām uzlikām",
NR117,"20"" vieglmetāla riteņi",N,,N,☐,,
NR118,Rezerves ritenis,N,,N,☐,,
NR119,Piekabes āķis,N,,N,☐,,
NR120,— DROŠĪBA UN AIZSARDZĪBA —,Y,,,,,
NR121,Gaisa spilveni - ceļgaliem,N,,N,☐,,
NR122,Gaisa spilveni - aizkari,N,"Priekšējie, sānu un aizkarveida gaisa drošības spilveni autovadītājam un pasažieriem",N,"Priekšējie, sānu un aizkarveida gaisa drošības spilveni autovadītājam un pasažieriem","Priekšējie, sānu un aizkarveida gaisa drošības spilveni autovadītājam un pasažieriem",
NR123,Gaisa spilveni - sāniem,N,"Priekšējie, sānu un aizkarveida gaisa drošības spilveni autovadītājam un pasažieriem",N,"Priekšējie, sānu un aizkarveida gaisa drošības spilveni autovadītājam un pasažieriem","Priekšējie, sānu un aizkarveida gaisa drošības spilveni autovadītājam un pasažieriem",
NR124,Signalizācija - perimetrs,N,Signalizācija ar drošības un pretaizdzīšanas aizsardzību,N,Signalizācija ar drošības un pretaizdzīšanas aizsardzību,Signalizācija ar drošības un pretaizdzīšanas aizsardzību,
NR125,Bezatslēgas iedarbināšana,N,,N,☐,,
NR126,Bezatslēgas ieeja un iedarbināšana,N,Inteliģentā atslēga,N,☑,Inteliģentā atslēga,
NR127,— GARANTIJA —,Y,,,,,
NR128,Papildus garantija - 2 gadi,N,,N,☐,,
NR129,Pagarināta garantija – 3 gadi,N,,N,☐,,
NR130,Pagarināta garantija – 4 gadi,N,,N,☐,,
NR131,Pagarināta garantija – 5 gadi,N,,N,☐,,
NR132,Pagarināta garantija – 6 gadi,N,,N,☐,,
NR133,Pagarināta garantija – 7 gadi,N,,N,☐,,
NR134,Garantijas nobraukums,N,,N,☐,,
NR135,Garantijas nobraukums,N,,N,☐,,
NR136,Garantijas nobraukums,N,,N,☐,,
NR137,Garantijas nobraukums,N,,N,☐,,
NR138,Bez nobraukuma ierobežojuma,N,,N,☐,,
NR139,Akumulatora garantija,N,,N,☐,,
