Nr Code,Variable Name,Is TT,Match (Yes/No/Maybe),Include,Matching Text,LLM_Reason,Accepted
NR86,Vadītāja sēdekļa elektriska regulēšana,,No,N,,,
NR87,Pasažiera sēdekļa elektriska regulēšana,,No,N,,,
NR88,Elektriski regulējams vadītāja sēdeklis ar atmiņu,,No,N,,,
NR89,Elektriski regulējams pasažiera sēdeklis ar atmiņu,,No,N,,,
NR90,Sēdekļu apdare - audums/sintētiska āda,,No,N,,,
NR91,Sēdekļu apdare - Alcantara/sintētiska āda,,No,N,,,
NR92,Sēdekļu apdare - sintētiska āda,,No,N,,,
NR93,— INTERJERS -  VADĪTĀJA PALĪDZĪBAS TEHNOLOĢIJAS —,Y,,,,,
NR94,Automātiskā parkošanās sistēma,,No,N,,,
NR95,Aklās zona uzraudzība,,Yes,N,Aklās zonas uzraudzības sistēma (BLIS),,
NR96,Aklās zona uzraudzība ar krustojuma satiksmes brīdinājumu,,No,N,,,
NR97,Kruīza kontrole,,No,N,Adaptīvā kruīza kontrole,,
NR98,Kruīza kontrole – adaptīvā,,Yes,N,Adaptīvā kruīza kontrole,,
NR99,Kruīza kontrole – adaptīvā Stop&Go,,Yes,N,Adaptīvā kruīza kontrole ar Stop & Go funkciju,,
NR100,Kruīza kontrole – adaptīvā satiksmes sastrēgumu gadījumā,,No,N,,,
NR101,"Kruīza kontrole – adaptīvā, balstīta uz navigācijas sistēmu",,No,N,,,
NR102,Joslas centrēšana un apdzīšanas palīgs,,No,N,,,
NR103,Kamera – priekšējais 360° skats,,No,N,,,
NR104,Kamera – aizmugurējais skats,,Yes,N,Atpakaļgaitas kamera,,
NR105,Stāvvietas palīgs – priekšējie sensori,,Yes,N,Priekšējie un aizmugurējie stāvvietas sensori,,
NR106,Stāvvietas palīgs – aizmugurējie sensori,,Yes,N,Priekšējie un aizmugurējie stāvvietas sensori,,
NR107,— MEHĀNISKAIS -  ŠASIJA —,Y,,,,,
NR108,AEBS ar gājēju un velosipēdistu atpazīšanu,,Yes,N,"Automātiskā avārijas bremzēšana (pēkšņa šķēršļa, gājēju un velosipēdistu atpazīšana)",,
NR109,Sadursmes mīkstināšana - pēc sadursmes,,No,N,,,
NR110,Stāvbremze - elektriska,,Yes,N,Elektroniskā stāvbremze,,
NR111,— MEHĀNISKAIS -  RITEŅI/RIEPAS —,Y,,,,,
NR112,"17"" tērauda riteņi",,No,N,,,
NR113,"17"" vieglmetāla riteņi",,No,N,,,
NR114,"18"" tērauda riteņi",,No,N,,,
NR115,"18"" vieglmetāla riteņi",,No,N,,,
NR116,"19"" vieglmetāla riteņi",,Yes,N,19 collu vieglmetāla diski,,
NR117,"20"" vieglmetāla riteņi",,No,N,,,
NR118,Rezerves ritenis,,No,N,,,
NR119,Piekabes āķis,,No,N,,,
NR120,— DROŠĪBA UN AIZSARDZĪBA —,Y,,,,,
NR121,Gaisa spilveni - ceļgaliem,,No,N,,,
NR122,Gaisa spilveni - aizkari,,No,N,,,
NR123,Gaisa spilveni - sāniem,,No,N,,,
NR124,Signalizācija - perimetrs,,No,N,,,
NR125,Bezatslēgas iedarbināšana,,No,N,,,
NR126,Bezatslēgas ieeja un iedarbināšana,,Yes,N,Bezatslēgas piekļuve,,
NR127,— GARANTIJA —,Y,,,,,
NR128,Papildus garantija - 2 gadi,,No,N,,,
NR129,Pagarināta garantija – 3 gadi,,No,N,,,
NR130,Pagarināta garantija – 4 gadi,,No,N,,,
NR131,Pagarināta garantija – 5 gadi,,No,N,,,
NR132,Pagarināta garantija – 6 gadi,,No,N,,,
NR133,Pagarināta garantija – 7 gadi,,No,N,,,
NR134,Garantijas nobraukums,,No,N,,,
NR135,Garantijas nobraukums,,No,N,,,
NR136,Garantijas nobraukums,,No,N,,,
NR137,Garantijas nobraukums,,No,N,,,
NR138,Bez nobraukuma ierobežojuma,,No,N,,,
NR139,Akumulatora garantija,,No,N,,,
