Nr Code,Variable Name,Is TT,Match (Yes/No/Maybe),Matching Text,LLM_Reason
NR70,Vieds palīgs ar AI,N,No,,No equivalent AI assistant feature found (Confidence: 100% - 3/3 votes)
NR71,Head - Up displejs,N,No,,No equivalent head-up display feature found (Confidence: 100% - 3/3 votes)
NR72,Interjers -  Instrumenti/Vadības Elementi,Y,,,
NR73,Apsildāms stūres rats,N,No,,No equivalent heated steering wheel feature found (Confidence: 100% - 3/3 votes)
NR74,Ādas stūres rats,N,No,,No equivalent leather steering wheel feature found (Confidence: 100% - 3/3 votes)
NR75,"Digitālais displejs – līdz 8,9 collas",N,Yes,"7"" krāsains modernais autovadītāja braukšanas palīgsistēmu (ADAD) displejs",Matches digital display size (Confidence: 67% - 2/3 votes)
NR76,"Digitālais displejs 9–11,9 collas",N,No,,"No equivalent digital display 9-11.9"" feature found (Confidence: 100% - 3/3 votes)"
NR77,Digitālais displejs 12+ collas,N,No,,No equivalent digital display 12+ inches feature found (Confidence: 100% - 3/3 votes)
NR78,Interjers -  Sēdekļi,Y,,,
NR79,Apsildāms vadītāja sēdeklis,N,Yes,Apsildāmi priekšējie sēdekļi,Matches heated driver seat (Confidence: 100% - 3/3 votes)
NR80,Apsildāms pasažiera sēdeklis,N,No,,No equivalent heated passenger seat feature found (Confidence: 100% - 3/3 votes)
NR81,Apsildāmi aizmugurējie sēdekļi,N,No,,No equivalent heated rear seats feature found (Confidence: 100% - 3/3 votes)
NR82,Vadītāja sēdekļa jostasvietas regulēšana manuāli,N,No,,No equivalent manual lumbar adjustment feature found (Confidence: 100% - 3/3 votes)
NR83,Pasažiera sēdekļa jostasvietas regulēšana manuāli,N,No,,No equivalent manual lumbar adjustment feature found (Confidence: 100% - 3/3 votes)
NR84,Vadītāja sēdekļa jostasvietas regulēšana elektriski,N,No,,No equivalent electric lumbar adjustment feature found (Confidence: 100% - 3/3 votes)
NR85,Pasažiera sēdekļa jostasvietas regulēšana elektriski,N,No,,No equivalent electric lumbar adjustment feature found (Confidence: 100% - 3/3 votes)
NR86,Vadītāja sēdekļa elektriska regulēšana,N,No,,No equivalent electric driver seat adjustment feature found (Confidence: 100% - 3/3 votes)
NR87,Pasažiera sēdekļa elektriska regulēšana,N,No,,No equivalent electric passenger seat adjustment feature found (Confidence: 100% - 3/3 votes)
NR88,Elektriski regulējams vadītāja sēdeklis ar atmiņu,N,No,,No equivalent memory driver seat feature found (Confidence: 100% - 3/3 votes)
NR89,Elektriski regulējams pasažiera sēdeklis ar atmiņu,N,No,,No equivalent memory passenger seat feature found (Confidence: 100% - 3/3 votes)
NR90,Sēdekļu apdare - audums/sintētiska āda,N,Yes,Monoformas sporta stila sēdekļi ar melnu auduma apdari,Matches fabric seat upholstery (Confidence: 100% - 3/3 votes)
NR91,Sēdekļu apdare - Alcantara/sintētiska āda,N,No,,No equivalent Alcantara/synthetic leather upholstery feature found (Confidence: 100% - 3/3 votes)
NR92,Sēdekļu apdare - sintētiska āda,N,No,,No equivalent synthetic leather upholstery feature found (Confidence: 100% - 3/3 votes)
NR93,Interjers -  Vadītāja Palīdzības Tehnoloģijas,Y,,,
NR94,Automātiskā parkošanās sistēma,N,No,,No equivalent automatic parking system feature found (Confidence: 100% - 3/3 votes)
NR95,Aklās zona uzraudzība,N,No,,No equivalent blind spot monitoring feature found (Confidence: 100% - 3/3 votes)
NR96,Aklās zona uzraudzība ar krustojuma satiksmes brīdinājumu,N,No,,No equivalent cross-traffic alert feature found (Confidence: 100% - 3/3 votes)
NR97,Kruīza kontrole,N,Yes,Kruīza kontrole ar ātruma ierobežotāju,Matches cruise control (Confidence: 100% - 3/3 votes)
NR98,Kruīza kontrole – adaptīvā,N,No,,No equivalent adaptive cruise control feature found (Confidence: 100% - 3/3 votes)
NR99,Kruīza kontrole – adaptīvā Stop&Go,N,No,,No equivalent Stop&Go cruise control feature found (Confidence: 100% - 3/3 votes)
NR100,Kruīza kontrole – adaptīvā satiksmes sastrēgumu gadījumā,N,No,,No equivalent traffic jam cruise control feature found (Confidence: 100% - 3/3 votes)
NR101,"Kruīza kontrole – adaptīvā, balstīta uz navigācijas sistēmu",N,No,,No equivalent navigation-based cruise control feature found (Confidence: 100% - 3/3 votes)
NR102,Joslas centrēšana un apdzīšanas palīgs,N,No,,No equivalent lane centering feature found (Confidence: 100% - 3/3 votes)
NR103,Kamera – priekšējais 360° skats,N,No,,No equivalent front 360° camera feature found (Confidence: 100% - 3/3 votes)
NR104,Kamera – aizmugurējais skats,N,Yes,Atpakaļskata kamera,Matches rearview camera (Confidence: 100% - 3/3 votes)
NR105,Stāvvietas palīgs – priekšējie sensori,N,No,,No equivalent front parking sensors feature found (Confidence: 100% - 3/3 votes)
NR106,Stāvvietas palīgs – aizmugurējie sensori,N,No,,No equivalent rear parking sensors feature found (Confidence: 100% - 3/3 votes)
NR107,Mehāniskais -  Šasija,Y,,,
NR108,AEBS ar gājēju un velosipēdistu atpazīšanu,N,Yes,Inteliģentā ārkārtas bremzēšanas sistēma ar gājēju un riteņbraucēju atpazīšanas funkciju,Matches AEBS with pedestrian and cyclist detection (Confidence: 100% - 3/3 votes)
NR109,Sadursmes mīkstināšana - pēc sadursmes,N,No,,No equivalent post-collision mitigation feature found (Confidence: 100% - 3/3 votes)
NR110,Stāvbremze - elektriska,N,Yes,Elektroniska rokas bremze ar automātiskās stāvbremzes funkciju,Matches electric parking brake (Confidence: 100% - 3/3 votes)
NR111,Mehāniskais -  Riteņi/Riepas,Y,,,
NR112,"17"" tērauda riteņi",N,Yes,"17"" tērauda diski, Sakura","Matches 17"" steel wheels (Confidence: 100% - 3/3 votes)"
NR113,"17"" vieglmetāla riteņi",N,No,,No equivalent alloy wheels feature found (Confidence: 100% - 3/3 votes)
NR114,"18"" tērauda riteņi",N,No,,"No equivalent 18"" steel wheels feature found (Confidence: 100% - 3/3 votes)"
NR115,"18"" vieglmetāla riteņi",N,No,,"No equivalent 18"" alloy wheels feature found (Confidence: 100% - 3/3 votes)"
NR116,"19"" vieglmetāla riteņi",N,No,,"No equivalent 19"" alloy wheels feature found (Confidence: 100% - 3/3 votes)"
NR117,"20"" vieglmetāla riteņi",N,No,,"No equivalent 20"" alloy wheels feature found (Confidence: 100% - 3/3 votes)"
NR118,Rezerves ritenis,N,No,,No equivalent spare wheel feature found (Confidence: 100% - 3/3 votes)
NR119,Piekabes āķis,N,No,,No equivalent tow hitch feature found (Confidence: 100% - 3/3 votes)
NR120,Drošība Un Aizsardzība,Y,,,
NR121,Gaisa spilveni - ceļgaliem,N,No,,No equivalent knee airbags feature found (Confidence: 100% - 3/3 votes)
NR122,Gaisa spilveni - aizkari,N,Yes,"Autovadītāja un pasažiera gaisa drošības spilveni, sānu un aizkarveida gaisa drošības spilveni",Matches curtain airbags (Confidence: 100% - 3/3 votes)
NR123,Gaisa spilveni - sāniem,N,Yes,"Autovadītāja un pasažiera gaisa drošības spilveni, sānu un aizkarveida gaisa drošības spilveni",Matches side airbags (Confidence: 100% - 3/3 votes)
NR124,Signalizācija - perimetrs,N,Yes,Rūpnīcā uzstādīta signalizācija,Matches perimeter alarm (Confidence: 100% - 3/3 votes)
NR125,Bezatslēgas iedarbināšana,N,No,,No equivalent keyless start feature found (Confidence: 100% - 3/3 votes)
NR126,Bezatslēgas ieeja un iedarbināšana,N,No,,No equivalent keyless entry and start feature found (Confidence: 100% - 3/3 votes)
NR127,Garantija,Y,,,
NR128,Papildus garantija - 2 gadi,N,No,,No equivalent additional warranty feature found (Confidence: 100% - 3/3 votes)
NR129,Pagarināta garantija – 3 gadi,N,No,,No equivalent extended warranty feature found (Confidence: 100% - 3/3 votes)
NR130,Pagarināta garantija – 4 gadi,N,No,,No equivalent extended warranty feature found (Confidence: 100% - 3/3 votes)
NR131,Pagarināta garantija – 5 gadi,N,No,,No equivalent extended warranty feature found (Confidence: 100% - 3/3 votes)
NR132,Pagarināta garantija – 6 gadi,N,No,,No equivalent extended warranty feature found (Confidence: 100% - 3/3 votes)
NR133,Pagarināta garantija – 7 gadi,N,No,,No equivalent extended warranty feature found (Confidence: 100% - 3/3 votes)
NR134,Garantijas nobraukums,N,No,,No equivalent mileage warranty feature found (Confidence: 100% - 3/3 votes)
NR135,Garantijas nobraukums,N,No,,No equivalent mileage warranty feature found (Confidence: 100% - 3/3 votes)
NR136,Garantijas nobraukums,N,No,,No equivalent mileage warranty feature found (Confidence: 100% - 3/3 votes)
NR137,Garantijas nobraukums,N,No,,No equivalent mileage warranty feature found (Confidence: 100% - 3/3 votes)
NR138,Bez nobraukuma ierobežojuma,N,No,,No equivalent unlimited mileage warranty feature found (Confidence: 100% - 3/3 votes)
NR139,Akumulatora garantija,N,No,,No equivalent battery warranty feature found (Confidence: 100% - 3/3 votes)
