Nr Code,Variable Name,Is TT,Intelligent Match,Consensus Match,Final Match,Intelligent Text,Consensus Text,Final Text,Intelligent Reason,Consensus Reason,Combined Reason
NR59,Gaisa kondicionētājs,N,Yes,Yes,Yes,Climatronic system for personalized temperature settings,"""3-Zone Climate Control: Climatronic system for personalized temperature settings.""",Climatronic system for personalized temperature settings,LV: Latvian term matches the feature description,Consensus: 3Y/0M/0N - Implies air conditioning.,Combined: I:Yes/C:Yes = Yes
NR60,Gaisa kondicionētājs - EATC 1 zona,N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR61,Gaisa kondicionētājs - EATC 2 zonas,N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR62,Gaisa kondicionētājs - EATC 3 zonas,N,No,Yes,Maybe,,"""3-Zone Climate Control: Climatronic system for personalized temperature settings.""","""3-Zone Climate Control: Climatronic system for personalized temperature settings.""",: No equivalent found in either language,Consensus: 3Y/0M/0N - Implies multi-zone climate control.,Combined: I:No/C:Yes = Maybe
NR63,Salona gaisa attīrītājs,N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR64,Apgaismojums - Interjers ar daudzkrāsu LED,N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR65,Centrālā konsole ar roku balstu,N,No,No,No,,"""Front Armrest: Includes a small storage compartment.""","""Front Armrest: Includes a small storage compartment.""",: No equivalent found in either language,Consensus: 1Y/0M/2N - Mentions a central console with an armrest.,Combined: I:No/C:No = No
NR66,Automātiski tumšojams salona spogulis,N,Yes,Yes,Yes,Reduces glare from headlights,"""Auto-Dimming Rearview Mirror: Reduces glare from headlights.""",Reduces glare from headlights,LV: Latvian term matches the feature description,Consensus: 3Y/0M/0N - Clearly mentions an auto-dimming rearview mirror.,Combined: I:Yes/C:Yes = Yes
NR67,12 V bagāžas nodalījumā,N,Yes,Yes,Yes,Located in the luggage compartment,"""12V Power Outlet: Located in the luggage compartment.""",Located in the luggage compartment,LV: Latvian term matches the feature description,Consensus: 3Y/0M/0N - Clearly mentions a 12V outlet in the luggage compartment.,Combined: I:Yes/C:Yes = Yes
NR68,Bezvadu uzlāde,N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR69,Interjers – In Car Entertainment/Komunikācijas,Y,,,,,,,,,
NR70,"Daudzfunkcionāls skārienjūtīgais ekrāns – 6–7,9 collas",N,Yes,Yes,Yes,"13"" touchscreen with voice control","""Touchscreen Display: 13"" touchscreen with voice control.""","13"" touchscreen with voice control",LV: Latvian term matches the feature description,Consensus: 3Y/0M/0N - Clearly mentions a touchscreen display larger than 12 inches.,Combined: I:Yes/C:Yes = Yes
NR71,"Daudzfunkcionāls skārienjūtīgais ekrāns – 8–9,9 collas",N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR72,"Daudzfunkcionāls skārienjūtīgais ekrāns – 10–11,9 collas",N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR73,"Daudzfunkcionāls skārienjūtīgais ekrāns – 12 collas """,N,No,Yes,Maybe,,"""Touchscreen Display: 13"" touchscreen with voice control.""","""Touchscreen Display: 13"" touchscreen with voice control.""",: No equivalent found in either language,Consensus: 3Y/0M/0N - Clearly mentions a touchscreen display of 12 inches.,Combined: I:No/C:Yes = Maybe
NR74,Zīmola audio sistēma,N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR75,Navigācijas centrs,N,Yes,Yes,Yes,Includes navigation system with a 3-year subscription,"""Infotainment Basic Package: Includes navigation system.""",Includes navigation system with a 3-year subscription,LV: Latvian term matches the feature description,Consensus: 3Y/0M/0N - Clearly mentions a navigation system.,Combined: I:Yes/C:Yes = Yes
NR76,Navigācijas centrs - savienots,N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR77,Android Auto un Apple CarPlay,N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR78,Android Auto un Apple CarPlay - bezvadu,N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR79,Vieds palīgs ar AI,N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR80,Avārijas zvans,N,Yes,Yes,Yes,Automatic emergency call feature,"""Emergency Call Function: Automatic emergency call feature.""",Automatic emergency call feature,LV: Latvian term matches the feature description,Consensus: 3Y/0M/0N - Clearly mentions an emergency call feature.,Combined: I:Yes/C:Yes = Yes
NR81,Head - Up displejs,N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR82,Interjers -  Instrumenti/Vadības Elementi,Y,,,,,,,,,
NR83,Apsildāms stūres rats,N,Yes,Yes,Yes,2-spoke design with heating,"""Multifunctional Leather Steering Wheel: 2-spoke design with heating.""",2-spoke design with heating,LV: Latvian term matches the feature description,Consensus: 3Y/0M/0N - Clearly mentions a heated steering wheel.,Combined: I:Yes/C:Yes = Yes
NR84,Ādas (ieskaitot Sensico) stūres rats,N,Yes,Yes,Yes,2-spoke design with heating,"""Multifunctional Leather Steering Wheel: 2-spoke design with heating.""",2-spoke design with heating,LV: Latvian term matches the feature description,Consensus: 3Y/0M/0N - Clearly mentions a leather steering wheel.,Combined: I:Yes/C:Yes = Yes
NR85,"Digitālais displejs – līdz 8,9 collām",N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR86,"Digitālais displejs 9–11,9 collas",N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR87,Digitālais displejs 12+ collas,N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR88,Interjers – Sēdekļi,Y,,,,,,,,,
NR89,Apsildāms vadītāja sēdeklis,N,No,Yes,Maybe,,"""Multifunctional Leather Steering Wheel: 2-spoke design with heating.""","""Multifunctional Leather Steering Wheel: 2-spoke design with heating.""",: No equivalent found in either language,Consensus: 3Y/0M/0N - Implies heated driver seat.,Combined: I:No/C:Yes = Maybe
NR90,Apsildāms pasažiera sēdeklis,N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR91,Apsildāmi aizmugurējie sēdekļi,N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR92,Vadītāja sēdekļa jostasvietas regulēšana manuāli,N,No,Yes,Maybe,,"""Front Seats: Manually adjustable height.""","""Front Seats: Manually adjustable height.""",: No equivalent found in either language,Consensus: 2Y/0M/1N - Clearly mentions manual adjustment for front seats.,Combined: I:No/C:Yes = Maybe
NR93,Pasažiera sēdekļa jostasvietas regulēšana manuāli,N,No,Yes,Maybe,,"""Front Seats: Manually adjustable height.""","""Front Seats: Manually adjustable height.""",: No equivalent found in either language,Consensus: 2Y/0M/1N - Clearly mentions manual adjustment for front seats.,Combined: I:No/C:Yes = Maybe
NR94,Vadītāja sēdekļa jostasvietas regulēšana elektriski,N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR95,Pasažiera sēdekļa jostasvietas regulēšana elektriski,N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR96,Vadītāja sēdekļa regulēšana elektriski,N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR97,Pasažiera sēdekļa regulēšana elektriski,N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR98,Vadītāja sēdekļa regulēšana elektriski un ar atmiņu,N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR99,Pasažiera sēdekļa regulēšana elektriski un ar atmiņu,N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR100,Sēdekļu apdare – audums/sintētiskā āda,N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR101,Sēdekļu apdare – Alcantara/sintētiskā āda,N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR102,Sēdekļu apdare – sintētiskā āda,N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR103,Interjers – Vadītāja Palīdzības Tehnoloģijas,Y,,,,,,,,,
NR104,Automātiskā parkošanās sistēma,N,Yes,Yes,Yes,Front and rear parking sensors with a rearview camera,"""Parking Sensors: Front and rear parking sensors with a rearview camera.""",Front and rear parking sensors with a rearview camera,LV: Latvian term matches the feature description,Consensus: 3Y/0M/0N - Clearly mentions parking assistance features.,Combined: I:Yes/C:Yes = Yes
NR105,Aklās zonas uzraudzība,N,Yes,Yes,Yes,Monitors traffic in the vehicle's blind spots,"""Side Assist: Monitors traffic in the vehicle's blind spots.""",Monitors traffic in the vehicle's blind spots,LV: Latvian term matches the feature description,Consensus: 3Y/0M/0N - Clearly mentions blind spot monitoring.,Combined: I:Yes/C:Yes = Yes
NR106,Aklās zonas uzraudzība ar šķērssatiksmes brīdinājumu,N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR107,Kruīza kontrole,N,Yes,Yes,Yes,Maintains a set speed and distance from the vehicle ahead,"""Adaptive Cruise Control: Maintains a set speed and distance from the vehicle ahead.""",Maintains a set speed and distance from the vehicle ahead,LV: Latvian term matches the feature description,Consensus: 3Y/0M/0N - Clearly mentions adaptive cruise control.,Combined: I:Yes/C:Yes = Yes
NR108,Kruīza kontrole – adaptīvā,N,Yes,Yes,Yes,Maintains a set speed and distance from the vehicle ahead,"""Adaptive Cruise Control: Maintains a set speed and distance from the vehicle ahead.""",Maintains a set speed and distance from the vehicle ahead,LV: Latvian term matches the feature description,Consensus: 3Y/0M/0N - Clearly mentions adaptive cruise control.,Combined: I:Yes/C:Yes = Yes
NR109,Kruīza kontrole – adaptīvā Stop&Go,N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR110,Kruīza kontrole – adaptīvā satiksmes sastrēgumu gadījumā,N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR111,"Kruīza kontrole – adaptīvā, balstīta uz navigācijas sistēmu",N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR112,Joslas centrēšanas un apdzīšanas palīgs,N,No,Yes,Maybe,,"""Lane Assistant: Lane-keeping assistance system.""","""Lane Assistant: Lane-keeping assistance system.""",: No equivalent found in either language,Consensus: 3Y/0M/0N - Clearly mentions lane-keeping assistance.,Combined: I:No/C:Yes = Maybe
NR113,Kamera – priekšā 360° skats,N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR114,Kamera - aizmugurē 180° skats,N,No,Yes,Maybe,,"""Parking Sensors: Front and rear parking sensors with a rearview camera.""","""Parking Sensors: Front and rear parking sensors with a rearview camera.""",: No equivalent found in either language,Consensus: 3Y/0M/0N - Implies rearview camera functionality.,Combined: I:No/C:Yes = Maybe
NR115,Parkošanās palīgsistēma - priekšējie sensori,N,Yes,Yes,Yes,Front and rear parking sensors with a rearview camera,"""Parking Sensors: Front and rear parking sensors with a rearview camera.""",Front and rear parking sensors with a rearview camera,LV: Latvian term matches the feature description,Consensus: 3Y/0M/0N - Clearly mentions front parking sensors.,Combined: I:Yes/C:Yes = Yes
NR116,Parkošanās palīgsistēma - aizmugurējie sensori,N,Yes,Yes,Yes,Front and rear parking sensors with a rearview camera,"""Parking Sensors: Front and rear parking sensors with a rearview camera.""",Front and rear parking sensors with a rearview camera,LV: Latvian term matches the feature description,Consensus: 3Y/0M/0N - Clearly mentions rear parking sensors.,Combined: I:Yes/C:Yes = Yes
NR117,Mehānika -  Šasija,Y,,,,,,,,,
NR118,AEBS ar gājēju un velosipēdistu atpazīšanu,N,Yes,Yes,Yes,Automatic speed reduction and full stop in the event of a potential frontal collision,"""Front Assist Radar System: Automatic speed reduction and full stop in the event of a potential frontal collision.""",Automatic speed reduction and full stop in the event of a potential frontal collision,LV: Latvian term matches the feature description,Consensus: 3Y/0M/0N - Implies pedestrian and cyclist recognition.,Combined: I:Yes/C:Yes = Yes
NR119,Sadursmes mīkstināšana – 2. sadursme,N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR120,Stāvbremze - elektriska,N,Yes,Yes,Yes,"Features ""Autohold"" function","""Electronic Parking Brake: Features 'Autohold' function.""","Features ""Autohold"" function",LV: Latvian term matches the feature description,Consensus: 3Y/0M/0N - Clearly mentions an electronic parking brake.,Combined: I:Yes/C:Yes = Yes
NR121,Mehānika -  Riteņi/Riepas,Y,,,,,,,,,
NR122,"16"" tērauda riteņi",N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR123,"16"" vieglmetāla riteņi",N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR124,"17"" tērauda riteņi",N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR125,"17"" vieglmetāla riteņi",N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR126,"18"" tērauda riteņi",N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR127,"18"" vieglmetāla riteņi",N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR128,"19"" vieglmetāla riteņi",N,Yes,Yes,Yes,"19"" alloy wheels (PROTEUS)","""Wheels: 19"" alloy wheels (PROTEUS) with 235/55 tires in the front and 255/50 R19 tires in the rear.""","19"" alloy wheels (PROTEUS)",LV: Latvian term matches the feature description,"Consensus: 3Y/0M/0N - Clearly mentions 19"" alloy wheels.",Combined: I:Yes/C:Yes = Yes
NR129,Rezerves ritenis,N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR130,Riteņu pārsegi,N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR131,Drošība Un Aizsardzība,Y,,,,,,,,,
NR132,Gaisa spilveni – ceļgaliem vai centrā,N,No,Yes,Maybe,,"""Head Curtain Airbag System: Includes front side airbags and a central airbag.""","""Head Curtain Airbag System: Includes front side airbags and a central airbag.""",: No equivalent found in either language,Consensus: 2Y/0M/1N - Clearly mentions airbags.,Combined: I:No/C:Yes = Maybe
NR133,Gaisa spilveni – aizkari,N,Yes,Yes,Yes,Includes front side airbags and a central airbag,"""Head Curtain Airbag System: Includes front side airbags and a central airbag.""",Includes front side airbags and a central airbag,LV: Latvian term matches the feature description,Consensus: 3Y/0M/0N - Clearly mentions curtain airbags.,Combined: I:Yes/C:Yes = Yes
NR134,Gaisa spilveni – sānos,N,Yes,Yes,Yes,Includes front side airbags and a central airbag,"""Head Curtain Airbag System: Includes front side airbags and a central airbag.""",Includes front side airbags and a central airbag,LV: Latvian term matches the feature description,Consensus: 3Y/0M/0N - Clearly mentions side airbags.,Combined: I:Yes/C:Yes = Yes
NR135,Signalizācija – perimetrs,N,Yes,Yes,Yes,Includes cabin protection and anti-theft features,"""Alarm System: Includes cabin protection and anti-theft features.""",Includes cabin protection and anti-theft features,LV: Latvian term matches the feature description,Consensus: 3Y/0M/0N - Clearly mentions an alarm system.,Combined: I:Yes/C:Yes = Yes
NR136,Bezatslēgas iedarbināšana,N,Yes,Yes,Yes,Kessy system for easy access,"""Keyless Entry and Engine Start: Kessy system for easy access.""",Kessy system for easy access,LV: Latvian term matches the feature description,Consensus: 3Y/0M/0N - Clearly mentions keyless entry.,Combined: I:Yes/C:Yes = Yes
NR137,Bezatslēgas piekļuve,N,Yes,Yes,Yes,Kessy system for easy access,"""Keyless Entry and Engine Start: Kessy system for easy access.""",Kessy system for easy access,LV: Latvian term matches the feature description,Consensus: 3Y/0M/0N - Clearly mentions keyless start.,Combined: I:Yes/C:Yes = Yes
NR138,Garantija,Y,,,,,,,,,
NR139,Pagarināta garantija – 2 gadi,N,Yes,Yes,Yes,"5 years or 100,000km","""Manufacturer's Warranty: 5 years or 100,000km.""","5 years or 100,000km",LV: Latvian term matches the feature description,Consensus: 3Y/0M/0N - Clearly mentions a 5-year warranty.,Combined: I:Yes/C:Yes = Yes
NR140,Pagarināta garantija – 3 gadi,N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR141,Pagarināta garantija – 4 gadi,N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR142,Pagarināta garantija – 5 gadi,N,No,Yes,Maybe,,"""Manufacturer's Warranty: 5 years or 100,000km.""","""Manufacturer's Warranty: 5 years or 100,000km.""",: No equivalent found in either language,Consensus: 3Y/0M/0N - Clearly mentions a 5-year warranty.,Combined: I:No/C:Yes = Maybe
NR143,Pagarināta garantija – 6 gadi,N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR144,Pagarināta garantija – 7 gadi,N,No,No,No,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
NR145,Pagarināta garantija – 10 gadi,N,No,No,No,,,,EN: not found,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No
