Nr Code,Variable Name,Is TT,Intelligent Match,Consensus Match,Final Match,Intelligent Text,Consensus Text,Final Text,Language Used,Intelligent Reason,Consensus Reason,Combined Reason
NR59,Gaisa kondicionētājs,N,No,Yes,Maybe,,"""3-zonu klimata kontrole (Climatronic)""","""3-zonu klimata kontrole (Climatronic)""",,: No equivalent found in either language,Consensus: 3Y/0M/0N - Clearly mentions climate control.,Combined: I:No/C:Yes = Maybe ()
NR60,Gaisa kondicionētājs - EATC 1 zona,N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR61,Gaisa kondicionētājs - EATC 2 zonas,N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR62,Gaisa kondicionētājs - EATC 3 zonas,N,Yes,Yes,Yes,3-zone climate control (Climatronic),"""3-zonu klimata kontrole (Climatronic)""",3-zone climate control (Climatronic),LV,LV: Latvian term matches the feature description,Consensus: 3Y/0M/0N - Clearly mentions climate control.,Combined: I:Yes/C:Yes = Yes (LV)
NR63,Salona gaisa attīrītājs,N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR64,Apgaismojums - Interjers ar daudzkrāsu LED,N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR65,Centrālā konsole ar roku balstu,N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR66,Automātiski tumšojams salona spogulis,N,Yes,Yes,Yes,Interior rearview mirror with automatic dimming,"""Salona atpakaļskata spogulis ar automātisku aptumšošanos""",Interior rearview mirror with automatic dimming,LV,LV: Latvian term matches the feature description,Consensus: 3Y/0M/0N - Clearly mentions an automatically dimming interior mirror.,Combined: I:Yes/C:Yes = Yes (LV)
NR67,12 V bagāžas nodalījumā,N,Yes,Yes,Yes,12V socket in the trunk,"""12V rozete bagāžas nodalījumā""",12V socket in the trunk,LV,LV: Latvian term matches the feature description,Consensus: 3Y/0M/0N - Clearly mentions a 12V socket in the trunk.,Combined: I:Yes/C:Yes = Yes (LV)
NR68,Bezvadu uzlāde,N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR69,Interjers – In Car Entertainment/Komunikācijas,Y,,,,,,,,,,
NR70,"Daudzfunkcionāls skārienjūtīgais ekrāns – 6–7,9 collas",N,Yes,Yes,Yes,"13"" touchscreen, voice control, Smart Link, digital radio, 2x USB-C ports","""13"" skārienjūtīgs ekrāns""","13"" touchscreen, voice control, Smart Link, digital radio, 2x USB-C ports",LV,LV: Latvian term matches the feature description,Consensus: 3Y/0M/0N - Clearly mentions a touch screen.,Combined: I:Yes/C:Yes = Yes (LV)
NR71,"Daudzfunkcionāls skārienjūtīgais ekrāns – 8–9,9 collas",N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR72,"Daudzfunkcionāls skārienjūtīgais ekrāns – 10–11,9 collas",N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR73,"Daudzfunkcionāls skārienjūtīgais ekrāns – 12 collas """,N,No,Yes,Maybe,,"""13"" skārienjūtīgs ekrāns""","""13"" skārienjūtīgs ekrāns""",,: No equivalent found in either language,Consensus: 3Y/0M/0N - Clearly mentions a touch screen.,Combined: I:No/C:Yes = Maybe ()
NR74,Zīmola audio sistēma,N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR75,Navigācijas centrs,N,Yes,Yes,Yes,"Navigation system with multimedia package ""Infotainment Online"" 3-year subscription","""navigācijas sistēma""","Navigation system with multimedia package ""Infotainment Online"" 3-year subscription",LV,LV: Latvian term matches the feature description,Consensus: 3Y/0M/0N - Clearly mentions a navigation system.,Combined: I:Yes/C:Yes = Yes (LV)
NR76,Navigācijas centrs - savienots,N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR77,Android Auto un Apple CarPlay,N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR78,Android Auto un Apple CarPlay - bezvadu,N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR79,Vieds palīgs ar AI,N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR80,Avārijas zvans,N,Yes,Yes,Yes,Emergency call function,"""Ārkārtas zvana funkcija""",Emergency call function,LV,LV: Latvian term matches the feature description,Consensus: 3Y/0M/0N - Clearly mentions an emergency call function.,Combined: I:Yes/C:Yes = Yes (LV)
NR81,Head - Up displejs,N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR82,Interjers -  Instrumenti/Vadības Elementi,Y,,,,,,,,,,
NR83,Apsildāms stūres rats,N,Yes,Yes,Yes,2-spoke multifunction leather steering wheel with heating,"""2-spieķu multifunkcionāla ādas stūre ar apsildi""",2-spoke multifunction leather steering wheel with heating,LV,LV: Latvian term matches the feature description,Consensus: 3Y/0M/0N - Clearly mentions a heated steering wheel.,Combined: I:Yes/C:Yes = Yes (LV)
NR84,Ādas (ieskaitot Sensico) stūres rats,N,No,Yes,Maybe,,"""2-spieķu multifunkcionāla ādas stūre""","""2-spieķu multifunkcionāla ādas stūre""",,: No equivalent found in either language,Consensus: 3Y/0M/0N - Clearly mentions a leather steering wheel.,Combined: I:No/C:Yes = Maybe ()
NR85,"Digitālais displejs – līdz 8,9 collām",N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR86,"Digitālais displejs 9–11,9 collas",N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR87,Digitālais displejs 12+ collas,N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR88,Interjers – Sēdekļi,Y,,,,,,,,,,
NR89,Apsildāms vadītāja sēdeklis,N,Yes,Yes,Yes,Front seat heating,"""Priekšējo sēdekļu apsilde""",Front seat heating,LV,LV: Latvian term matches the feature description,Consensus: 3Y/0M/0N - Clearly mentions heated front seats.,Combined: I:Yes/C:Yes = Yes (LV)
NR90,Apsildāms pasažiera sēdeklis,N,Yes,Yes,Yes,Front seat heating,"""Priekšējo sēdekļu apsilde""",Front seat heating,LV,LV: Latvian term matches the feature description,Consensus: 3Y/0M/0N - Clearly mentions heated front seats.,Combined: I:Yes/C:Yes = Yes (LV)
NR91,Apsildāmi aizmugurējie sēdekļi,N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR92,Vadītāja sēdekļa jostasvietas regulēšana manuāli,N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR93,Pasažiera sēdekļa jostasvietas regulēšana manuāli,N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR94,Vadītāja sēdekļa jostasvietas regulēšana elektriski,N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR95,Pasažiera sēdekļa jostasvietas regulēšana elektriski,N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR96,Vadītāja sēdekļa regulēšana elektriski,N,No,Yes,Maybe,,"""Priekšējie sēdekļi ar mehānisku augstuma regulāciju""","""Priekšējie sēdekļi ar mehānisku augstuma regulāciju""",,: No equivalent found in either language,Consensus: 2Y/0M/1N - Clearly mentions electrically adjustable front seats.,Combined: I:No/C:Yes = Maybe ()
NR97,Pasažiera sēdekļa regulēšana elektriski,N,No,No,No,,"""Priekšējie sēdekļi ar mehānisku augstuma regulāciju""","""Priekšējie sēdekļi ar mehānisku augstuma regulāciju""",,: No equivalent found in either language,Consensus: 1Y/0M/2N - Clearly mentions electrically adjustable front seats.,Combined: I:No/C:No = No ()
NR98,Vadītāja sēdekļa regulēšana elektriski un ar atmiņu,N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR99,Pasažiera sēdekļa regulēšana elektriski un ar atmiņu,N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR100,Sēdekļu apdare – audums/sintētiskā āda,N,Yes,No,Maybe,Black/grey seat fabric/artificial leather trim,,Black/grey seat fabric/artificial leather trim,LV,LV: Latvian term matches the feature description,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:Yes/C:No = Maybe (LV)
NR101,Sēdekļu apdare – Alcantara/sintētiskā āda,N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR102,Sēdekļu apdare – sintētiskā āda,N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR103,Interjers – Vadītāja Palīdzības Tehnoloģijas,Y,,,,,,,,,,
NR104,Automātiskā parkošanās sistēma,N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR105,Aklās zonas uzraudzība,N,Yes,Yes,Yes,"Blind Spot Monitoring System ""Side Assist""","""Aklo zonu kontroles sistēma ""Side Assist""""","Blind Spot Monitoring System ""Side Assist""",LV,LV: Latvian term matches the feature description,Consensus: 3Y/0M/0N - Clearly mentions blind spot monitoring.,Combined: I:Yes/C:Yes = Yes (LV)
NR106,Aklās zonas uzraudzība ar šķērssatiksmes brīdinājumu,N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR107,Kruīza kontrole,N,Yes,Yes,Yes,Adaptive Cruise Control,"""Adaptīvā kruīza kontrole""",Adaptive Cruise Control,LV,LV: Latvian term matches the feature description,Consensus: 3Y/0M/0N - Clearly mentions adaptive cruise control.,Combined: I:Yes/C:Yes = Yes (LV)
NR108,Kruīza kontrole – adaptīvā,N,Yes,Yes,Yes,Adaptive Cruise Control,"""Adaptīvā kruīza kontrole""",Adaptive Cruise Control,LV,LV: Latvian term matches the feature description,Consensus: 3Y/0M/0N - Clearly mentions adaptive cruise control.,Combined: I:Yes/C:Yes = Yes (LV)
NR109,Kruīza kontrole – adaptīvā Stop&Go,N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR110,Kruīza kontrole – adaptīvā satiksmes sastrēgumu gadījumā,N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR111,"Kruīza kontrole – adaptīvā, balstīta uz navigācijas sistēmu",N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR112,Joslas centrēšanas un apdzīšanas palīgs,N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR113,Kamera – priekšā 360° skats,N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR114,Kamera - aizmugurē 180° skats,N,Yes,Yes,Yes,Rearview camera,"""Atpakaļskata kamera""",Rearview camera,LV,LV: Latvian term matches the feature description,Consensus: 3Y/0M/0N - Clearly mentions a rearview camera.,Combined: I:Yes/C:Yes = Yes (LV)
NR115,Parkošanās palīgsistēma - priekšējie sensori,N,Yes,Yes,Yes,Parking sensors front and rear,"""Stāvvietā novietošanas sensori priekšā un aizmugurē""",Parking sensors front and rear,LV,LV: Latvian term matches the feature description,Consensus: 3Y/0M/0N - Clearly mentions parking sensors.,Combined: I:Yes/C:Yes = Yes (LV)
NR116,Parkošanās palīgsistēma - aizmugurējie sensori,N,Yes,Yes,Yes,Parking sensors front and rear,"""Stāvvietā novietošanas sensori priekšā un aizmugurē""",Parking sensors front and rear,LV,LV: Latvian term matches the feature description,Consensus: 3Y/0M/0N - Clearly mentions parking sensors.,Combined: I:Yes/C:Yes = Yes (LV)
NR117,Mehānika -  Šasija,Y,,,,,,,,,,
NR118,AEBS ar gājēju un velosipēdistu atpazīšanu,N,Yes,Yes,Yes,Pedestrian and cyclist monitoring system,"""gājēju un velobraucēju uzraudzības sistēma""",Pedestrian and cyclist monitoring system,LV,LV: Latvian term matches the feature description,Consensus: 3Y/0M/0N - Clearly mentions pedestrian and cyclist monitoring system.,Combined: I:Yes/C:Yes = Yes (LV)
NR119,Sadursmes mīkstināšana – 2. sadursme,N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR120,Stāvbremze - elektriska,N,Yes,Yes,Yes,"Electronic parking brake with ""Autohold"" function","""Elektroniskā stāvbremze ar ""Autohold"" funkciju""","Electronic parking brake with ""Autohold"" function",LV,LV: Latvian term matches the feature description,Consensus: 3Y/0M/0N - Clearly mentions electronic parking brake.,Combined: I:Yes/C:Yes = Yes (LV)
NR121,Mehānika -  Riteņi/Riepas,Y,,,,,,,,,,
NR122,"16"" tērauda riteņi",N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR123,"16"" vieglmetāla riteņi",N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR124,"17"" tērauda riteņi",N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR125,"17"" vieglmetāla riteņi",N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR126,"18"" tērauda riteņi",N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR127,"18"" vieglmetāla riteņi",N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR128,"19"" vieglmetāla riteņi",N,Yes,Yes,Yes,"19"" alloy wheels PROTEUS","""19"" vieglmetāla diski PROTEUS""","19"" alloy wheels PROTEUS",LV,LV: Latvian term matches the feature description,"Consensus: 3Y/0M/0N - Clearly mentions 19"" alloy wheels.",Combined: I:Yes/C:Yes = Yes (LV)
NR129,Rezerves ritenis,N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR130,Riteņu pārsegi,N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR131,Drošība Un Aizsardzība,Y,,,,,,,,,,
NR132,Gaisa spilveni – ceļgaliem vai centrā,N,Yes,Yes,Yes,Front side and central airbags,"""Galvas drošības spilvenu sistēma (aizkari) un priekšējie sānu un centrālais drošības spilveni""",Front side and central airbags,LV,LV: Latvian term matches the feature description,Consensus: 3Y/0M/0N - Clearly mentions airbags.,Combined: I:Yes/C:Yes = Yes (LV)
NR133,Gaisa spilveni – aizkari,N,Yes,Yes,Yes,Head curtain airbag system,"""Galvas drošības spilvenu sistēma (aizkari)""",Head curtain airbag system,LV,LV: Latvian term matches the feature description,Consensus: 3Y/0M/0N - Clearly mentions curtain airbags.,Combined: I:Yes/C:Yes = Yes (LV)
NR134,Gaisa spilveni – sānos,N,Yes,Yes,Yes,Front side and central airbags,"""priekšējie sānu un centrālais drošības spilveni""",Front side and central airbags,LV,LV: Latvian term matches the feature description,Consensus: 3Y/0M/0N - Clearly mentions side airbags.,Combined: I:Yes/C:Yes = Yes (LV)
NR135,Signalizācija – perimetrs,N,Yes,Yes,Yes,Alarm with interior protection and anti-theft protection,"""Signalizācija ar salona aizsardzības funkciju""",Alarm with interior protection and anti-theft protection,LV,LV: Latvian term matches the feature description,Consensus: 3Y/0M/0N - Clearly mentions alarm system.,Combined: I:Yes/C:Yes = Yes (LV)
NR136,Bezatslēgas iedarbināšana,N,Yes,Yes,Yes,Keyless access and engine start system Kessy,"""Bezatslēgas piekļuve un dzinēja startēšana sistēma Kessy""",Keyless access and engine start system Kessy,LV,LV: Latvian term matches the feature description,Consensus: 3Y/0M/0N - Clearly mentions keyless start.,Combined: I:Yes/C:Yes = Yes (LV)
NR137,Bezatslēgas piekļuve,N,Yes,Yes,Yes,Keyless access and engine start system Kessy,"""Bezatslēgas piekļuve un dzinēja startēšana sistēma Kessy""",Keyless access and engine start system Kessy,LV,LV: Latvian term matches the feature description,Consensus: 3Y/0M/0N - Clearly mentions keyless access.,Combined: I:Yes/C:Yes = Yes (LV)
NR138,Garantija,Y,,,,,,,,,,
NR139,Pagarināta garantija – 2 gadi,N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR140,Pagarināta garantija – 3 gadi,N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR141,Pagarināta garantija – 4 gadi,N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR142,Pagarināta garantija – 5 gadi,N,Yes,Yes,Yes,"Manufacturer's warranty - 5 years with a 100,000 km mileage limit","""Ražotāja garantija - 5 gadi ar 100 000km nobraukuma ierobežojumu""","Manufacturer's warranty - 5 years with a 100,000 km mileage limit",LV,LV: Latvian term matches the feature description,Consensus: 3Y/0M/0N - Clearly mentions a 5-year warranty.,Combined: I:Yes/C:Yes = Yes (LV)
NR143,Pagarināta garantija – 6 gadi,N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR144,Pagarināta garantija – 7 gadi,N,No,No,No,,,,,: No equivalent found in either language,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No ()
NR145,Pagarināta garantija – 10 gadi,N,No,No,No,,,,EN,EN: not found,Consensus: 0Y/0M/3N - Not mentioned in the specification text.,Combined: I:No/C:No = No (EN)
